bias_correction_dem,global_sd,races,adjusted_residual_mean,adjusted_residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_binary_log_loss,rank_margin_negative_log_likelihood,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,weighted_selection_score,pareto_optimal,recommended
-3.0,7.0,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.0794757132021051,0.330466108909588,4.185372584414157,0.06773144825549525,0.11187339641857545,0.32577330291406503,0.4358974358974359,-0.0641025641025641,0.0641025641025641,0.6965811965811965,-0.1034188034188035,0.1034188034188035,0.8461538461538461,-0.10384615384615381,0.10384615384615381,0.09045584045584047,0.10384615384615381,578.0,725.0,699.0,609.0,566.0,635.4,646.0,False,False
-3.0,7.25,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.0793186039812256,0.3232236777704486,4.130963473282755,0.06803792791744906,0.11166024209314282,0.32399904227799503,0.45726495726495725,-0.04273504273504275,0.04273504273504275,0.7136752136752137,-0.08632478632478635,0.08632478632478635,0.8504273504273504,-0.09957264957264955,0.09957264957264955,0.07621082621082621,0.09957264957264955,561.0,722.0,672.0,613.0,470.0,607.6,618.3333333333334,False,False
-3.0,7.5,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07919566130154787,0.31690721429113905,4.084164597401238,0.06371980849860664,0.11184573882491662,0.3514031505078895,0.4658119658119658,-0.03418803418803418,0.03418803418803418,0.7307692307692307,-0.06923076923076932,0.06923076923076932,0.8589743589743589,-0.09102564102564104,0.09102564102564104,0.06481481481481484,0.09102564102564104,552.0,718.0,645.0,563.0,369.0,569.4,582.0,False,False
-3.0,7.75,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07910485742151249,0.3114050068607357,4.043937036599971,0.05982726812695535,0.10868498917977873,0.3467801978934,0.4700854700854701,-0.02991452991452992,0.02991452991452992,0.7350427350427351,-0.06495726495726495,0.06495726495726495,0.8675213675213675,-0.08247863247863241,0.08247863247863241,0.05911680911680909,0.08247863247863241,545.0,709.0,617.0,504.0,322.0,539.4,552.3333333333334,False,False
-3.0,8.0,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07904442268333205,0.30662192552210593,4.0094061874712965,0.058634432608501035,0.10720656739753932,0.34242365789965074,0.49145299145299143,-0.008547008547008572,0.008547008547008572,0.7435897435897436,-0.05641025641025643,0.05641025641025643,0.8760683760683761,-0.07393162393162389,0.07393162393162389,0.0462962962962963,0.07393162393162389,537.0,695.0,590.0,478.0,224.0,504.8,519.0,False,False
-3.0,8.25,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07901279863229316,0.3024764832616571,3.9798319349184537,0.061584651371246774,0.10692335531031695,0.33831180857795645,0.5,0.0,0.0,0.7521367521367521,-0.047863247863247915,0.047863247863247915,0.8846153846153846,-0.06538461538461537,0.06538461538461537,0.03774928774928776,0.06538461538461537,534.0,674.0,561.0,533.0,145.0,489.4,501.3333333333333,False,False
-3.0,8.5,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07900859918161447,0.29889849364123233,3.9545849209992743,0.061329195227986154,0.1094604403542786,0.3934818620345264,0.5170940170940171,0.017094017094017144,0.017094017094017144,0.7649572649572649,-0.03504273504273514,0.03504273504273514,0.8888888888888888,-0.061111111111111116,0.061111111111111116,0.0377492877492878,0.061111111111111116,531.0,660.0,532.0,529.0,151.0,480.6,489.1666666666667,False,False
-3.0,8.75,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07903057861517261,0.29582719010991443,3.933127530952866,0.06189015814120815,0.10411470089233582,0.4018497692273141,0.5213675213675214,0.021367521367521403,0.021367521367521403,0.7777777777777778,-0.022222222222222254,0.022222222222222254,0.8888888888888888,-0.061111111111111116,0.061111111111111116,0.03490028490028493,0.061111111111111116,536.0,641.0,499.0,538.0,115.0,465.8,471.3333333333333,False,False
-3.0,9.0,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07907760536373955,0.29320970555593834,3.9149985575230457,0.06418760555022557,0.10494958338180116,0.3978500977827266,0.5299145299145299,0.02991452991452992,0.02991452991452992,0.7777777777777778,-0.022222222222222254,0.022222222222222254,0.9017094017094017,-0.04829059829059823,0.04829059829059823,0.03347578347578347,0.04829059829059823,541.0,628.0,445.0,567.0,95.0,455.2,453.5,False,False
-3.0,9.25,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07914864062840278,0.2909998350321758,3.8998007547720093,0.07387045612349774,0.11474099758827344,0.39405019326909635,0.5512820512820513,0.05128205128205132,0.05128205128205132,0.7863247863247863,-0.013675213675213738,0.013675213675213738,0.9102564102564102,-0.03974358974358971,0.03974358974358971,0.03490028490028493,0.05128205128205132,547.0,613.0,385.0,682.0,115.0,468.4,454.5,False,False
-3.0,9.5,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.0792427210534485,0.289157022601011,3.887190677579084,0.0721019354910832,0.12116220406477576,0.42476502564433577,0.5598290598290598,0.05982905982905984,0.05982905982905984,0.7863247863247863,-0.013675213675213738,0.013675213675213738,0.9188034188034188,-0.031196581196581197,0.031196581196581197,0.03490028490028493,0.05982905982905984,558.0,599.0,327.0,665.0,115.0,452.8,431.8333333333333,False,False
-3.0,9.75,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07935894476765268,0.287645526746258,3.8768703410867964,0.07293990681052621,0.12126185346251517,0.4211857789590116,0.5598290598290598,0.05982905982905984,0.05982905982905984,0.7948717948717948,-0.005128205128205221,0.005128205128205221,0.9230769230769231,-0.026923076923076827,0.026923076923076827,0.03062678062678063,0.05982905982905984,565.0,580.0,257.0,673.0,70.0,429.0,400.3333333333333,False,False
-3.0,10.0,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.0794964602164303,0.2864337289532964,3.8685803382542634,0.07049367932285418,0.12152833727036103,0.41777226091467357,0.5683760683760684,0.06837606837606836,0.06837606837606836,0.8162393162393162,0.01623931623931618,0.01623931623931618,0.9273504273504274,-0.02264957264957257,0.02264957264957257,0.0357549857549857,0.06837606837606836,582.0,564.0,206.0,642.0,121.0,423.0,386.8333333333333,False,False
-3.0,10.25,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07965445729745432,0.2854935577801125,3.8620941324766984,0.07399691963438057,0.1228967063431886,0.4145135382847148,0.5811965811965812,0.08119658119658124,0.08119658119658124,0.8247863247863247,0.0247863247863247,0.0247863247863247,0.9401709401709402,-0.009829059829059794,0.009829059829059794,0.03860398860398858,0.08119658119658124,590.0,553.0,162.0,685.0,153.0,428.6,384.1666666666667,True,False
-3.0,10.5,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.07983216038977324,0.2848000066393896,3.8572133024366715,0.07240030395673712,0.11541802711433387,0.31130209049691754,0.5982905982905983,0.09829059829059827,0.09829059829059827,0.8376068376068376,0.037606837606837584,0.037606837606837584,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.04715099715099713,0.09829059829059827,604.0,538.0,127.0,667.0,229.0,433.0,382.0,False,False
-3.0,10.75,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.08002882293224177,0.28433072805275844,3.85376356267768,0.07671351087968535,0.12331772470448898,0.3469104080086762,0.6111111111111112,0.11111111111111116,0.11111111111111116,0.8461538461538461,0.0461538461538461,0.0461538461538461,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.05427350427350427,0.11111111111111116,617.0,529.0,102.0,702.0,278.0,445.6,388.3333333333333,False,False
-3.0,11.0,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.0802437232626172,0.28406569065137127,3.8515914192720877,0.07414993924041291,0.12106314732434827,0.3437453064738309,0.6239316239316239,0.12393162393162394,0.12393162393162394,0.8461538461538461,0.0461538461538461,0.0461538461538461,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.058547008547008526,0.12393162393162394,632.0,518.0,81.0,686.0,314.0,446.2,385.3333333333333,False,False
-3.0,11.25,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.0804761614754301,0.2839868879323287,3.8505613479236804,0.06896007200330423,0.11243812414181432,0.2823426148856578,0.6282051282051282,0.1282051282051282,0.1282051282051282,0.8504273504273504,0.05042735042735036,0.05042735042735036,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.06139601139601136,0.1282051282051282,648.0,515.0,72.0,629.0,338.0,440.4,379.0,False,False
-3.0,11.5,234,1.3978756768573943,11.313899106042696,7.956612001597356,11.37591061898382,0.08072545709610691,0.284078089921414,3.850553403776557,0.07150083478542743,0.10996698272105908,0.2642749333612719,0.6324786324786325,0.13247863247863245,0.13247863247863245,0.8589743589743589,0.058974358974358876,0.058974358974358876,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.06481481481481477,0.13247863247863245,662.0,519.0,71.0,655.0,366.0,454.6,390.6666666666667,False,False
