race_id,cycle,election_date,state,state_name,senate_class,seat_id,election_type,special_election,actual_margin_dem,winner_party,presidential_result_year,presidential_margin_dem,senate_overperformance_dem,model_incumbent_name,model_incumbent_party,model_incumbent_running,model_open_seat,incumbent_party_dem,incumbent_running_indicator,open_seat_indicator,major_party_contested,backtest_scorable,backtest_exclusion_reason,presidential_baseline_available,historical_baseline_scorable,baseline_method,lookahead_protection,baseline_validation_status,president,president_party,president_party_dem,midterm_indicator,generic_ballot_dem,generic_ballot_gop,generic_ballot_margin_dem,generic_ballot_components_available,presidential_approval,presidential_disapproval,approval_net,presidential_approval_centered,approval_net_dem_oriented,approval_centered_dem_oriented,approval_poll_start,approval_poll_end,approval_observation_pre_election,generic_ballot_source,approval_source,national_environment_source_status,national_environment_notes,national_environment_scorable,national_environment_validation_status,national_environment_matched,historical_fundamentals_scorable,fundamentals_exclusion_reason,production_formula,production_formula_label,production_baseline_margin_dem,production_national_environment_margin_dem,production_predicted_margin_dem,production_prediction_error_dem,model_incumbent_name_baseline,model_incumbent_party_baseline,model_incumbent_running_baseline,model_open_seat_baseline,lineage_appointed_incumbent,incumbency_source,incumbency_override_applied,incumbency_audit_flag,senate_overperformance_dem_baseline,senate_overperformance_abs,forecast_error_dem,absolute_error,squared_error,actual_winner_party,predicted_winner_party,winner_correct,incumbency_category
2012_AZ,2012,2012-11-06,AZ,Arizona,1,AZ_CLASS_1,regular,False,-3.1721173153280375,R,2008,-8.627801439232641,5.455684123904604,Jon Kyl,R,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,-8.627801439232641,-0.18000000000000002,-8.807801439232641,-5.635684123904603,Jon Kyl,R,False,True,False,audited_senate_seat_lineage,False,False,5.455684123904604,5.455684123904604,5.635684123904603,5.635684123904603,31.760935544430396,R,R,True,open_seat
2012_CA,2012,2012-11-06,CA,California,1,CA_CLASS_1,regular,False,25.048568944289187,D,2008,24.556899183170813,0.4916697611183735,Dianne Feinstein,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,24.556899183170813,-0.18000000000000002,24.376899183170814,-0.6716697611183733,Dianne Feinstein,D,True,False,False,audited_senate_seat_lineage,False,False,0.4916697611183735,0.4916697611183735,0.6716697611183733,0.6716697611183733,0.45114026800081264,D,D,True,elected_incumbent_running
2012_CT,2012,2012-11-06,CT,Connecticut,1,CT_CLASS_1,regular,False,12.00608169746934,D,2008,22.63667649950835,-10.630594802039012,Joseph I. Lieberman,D,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,22.63667649950835,-0.18000000000000002,22.45667649950835,10.450594802039012,Joseph I. Lieberman,D,False,True,False,audited_senate_seat_lineage,False,False,-10.630594802039012,10.630594802039012,-10.450594802039012,10.450594802039012,109.2149317164048,D,D,True,open_seat
2012_DE,2012,2012-11-06,DE,Delaware,1,DE_CLASS_1,regular,False,39.28341839077444,D,2008,25.27627729977712,14.007141090997322,Thomas R. Carper,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,25.27627729977712,-0.18000000000000002,25.09627729977712,-14.187141090997322,Thomas R. Carper,D,True,False,False,audited_senate_seat_lineage,False,False,14.007141090997322,14.007141090997322,14.187141090997322,14.187141090997322,201.27497233586467,D,D,True,elected_incumbent_running
2012_FL,2012,2012-11-06,FL,Florida,1,FL_CLASS_1,regular,False,13.345297340747948,D,2008,2.8393200617985883,10.50597727894936,Bill Nelson,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,2.8393200617985883,-0.18000000000000002,2.659320061798588,-10.685977278949359,Bill Nelson,D,True,False,False,audited_senate_seat_lineage,False,False,10.50597727894936,10.50597727894936,10.685977278949359,10.685977278949359,114.19011040622195,D,D,True,elected_incumbent_running
2012_HI,2012,2012-11-06,HI,Hawaii,1,HI_CLASS_1,regular,False,25.203085836142193,D,2008,45.98745175691083,-20.784365920768636,Daniel K. Akaka,D,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,45.98745175691083,-0.18000000000000002,45.80745175691083,20.604365920768636,Daniel K. Akaka,D,False,True,False,audited_senate_seat_lineage,False,False,-20.784365920768636,20.784365920768636,-20.604365920768636,20.604365920768636,424.53989499693193,D,D,True,open_seat
2012_IN,2012,2012-11-06,IN,Indiana,1,IN_CLASS_1,regular,False,6.110645924593399,D,2008,1.0439068907561762,5.066739033837223,Richard G. Lugar,R,False,True,0.0,0,1,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,1.0439068907561762,-0.18000000000000002,0.8639068907561761,-5.246739033837223,Richard G. Lugar,R,False,True,False,audited_senate_seat_lineage,False,False,5.066739033837223,5.066739033837223,5.246739033837223,5.246739033837223,27.52827048919115,D,D,True,open_seat
2012_MA,2012,2012-11-06,MA,Massachusetts,1,MA_CLASS_1,regular,False,7.554477975801376,D,2008,26.394156426705905,-18.83967845090453,Scott P. Brown,R,True,False,-1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,26.394156426705905,-0.18000000000000002,26.214156426705905,18.65967845090453,Scott P. Brown,R,True,False,False,audited_senate_seat_lineage,False,False,-18.83967845090453,18.83967845090453,-18.65967845090453,18.65967845090453,348.18359989115083,D,D,True,elected_incumbent_running
2012_MD,2012,2012-11-06,MD,Maryland,1,MD_CLASS_1,regular,False,36.02316963954084,D,2008,25.860174585771063,10.162995053769777,Benjamin L. Cardin,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,25.860174585771063,-0.18000000000000002,25.680174585771063,-10.342995053769776,Benjamin L. Cardin,D,True,False,False,audited_senate_seat_lineage,False,False,10.162995053769777,10.162995053769777,10.342995053769776,10.342995053769776,106.97754668230606,D,D,True,elected_incumbent_running
2012_MI,2012,2012-11-06,MI,Michigan,1,MI_CLASS_1,regular,False,21.50553871325623,D,2008,16.742603152309044,4.762935560947184,Debbie Stabenow,D,True,False,1.0,1,0,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,Barack Obama,D,1.0,0,47.3,47.5,-0.2,True,52.0,45.0,7.0,2.0,7.0,2.0,2012-10-29,2012-11-04,True,RealClearPolitics final 2012 generic congressional ballot average,Gallup presidential job approval,verified,Final pre-election RCP average and final fully pre-election Gallup weekly observation,True,PASSED,True,True,,generic_0_90,0.90 × generic ballot,16.742603152309044,-0.18000000000000002,16.562603152309045,-4.942935560947184,Debbie Stabenow,D,True,False,False,audited_senate_seat_lineage,False,False,4.762935560947184,4.762935560947184,4.942935560947184,4.942935560947184,24.432611959676255,D,D,True,elected_incumbent_running
