model_id,model_family,model_family_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,component_count,cycle,n_observations,races,mae,rmse,mean_error_dem,brier,winner_accuracy,mean_error,absolute_mean_error
generic_only__gb_p0_00__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.0,0.0,0.0,1,2012,32,32,10.211351287834129,13.330871079461787,-1.2401586774533535,0.11199454584577878,0.84375,-1.2401586774533535,1.2401586774533535
generic_only__gb_p0_05__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.05,0.0,0.0,1,2012,32,32,10.21260128783413,13.331805088238418,-1.250158677453354,0.11207241846266519,0.84375,-1.250158677453354,1.250158677453354
generic_only__gb_p0_10__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.1,0.0,0.0,1,2012,32,32,10.213851287834128,13.332746531916401,-1.260158677453354,0.11215036291977329,0.84375,-1.260158677453354,1.260158677453354
generic_only__gb_p0_15__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.15,0.0,0.0,1,2012,32,32,10.215101287834129,13.333695408920883,-1.2701586774533542,0.11222837917143529,0.84375,-1.2701586774533542,1.2701586774533542
generic_only__gb_p0_20__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.2,0.0,0.0,1,2012,32,32,10.21635128783413,13.33465171766503,-1.280158677453353,0.11230646717191772,0.84375,-1.280158677453353,1.280158677453353
generic_only__gb_p0_25__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.25,0.0,0.0,1,2012,32,32,10.217601287834128,13.335615456550029,-1.2901586774533544,0.11238462687542153,0.84375,-1.2901586774533544,1.2901586774533544
generic_only__gb_p0_30__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.3,0.0,0.0,1,2012,32,32,10.218851287834127,13.33658662396511,-1.3001586774533538,0.11246285823608185,0.84375,-1.3001586774533538,1.3001586774533538
generic_only__gb_p0_35__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.35,0.0,0.0,1,2012,32,32,10.22010128783413,13.337565218287562,-1.3101586774533542,0.1125411612079682,0.84375,-1.3101586774533542,1.3101586774533542
generic_only__gb_p0_40__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.4,0.0,0.0,1,2012,32,32,10.221351287834128,13.338551237882742,-1.3201586774533527,0.11261953574508424,0.84375,-1.3201586774533527,1.3201586774533527
generic_only__gb_p0_45__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.45,0.0,0.0,1,2012,32,32,10.222601287834127,13.339544681104085,-1.3301586774533543,0.11269798180136796,0.84375,-1.3301586774533543,1.3301586774533543
generic_only__gb_p0_50__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.5,0.0,0.0,1,2012,32,32,10.22385128783413,13.340545546293127,-1.3401586774533543,0.11277649933069152,0.84375,-1.3401586774533543,1.3401586774533543
generic_only__gb_p0_55__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.55,0.0,0.0,1,2012,32,32,10.225101287834129,13.341553831779505,-1.350158677453353,0.11285508828686118,0.84375,-1.350158677453353,1.350158677453353
generic_only__gb_p0_60__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.6,0.0,0.0,1,2012,32,32,10.226351287834127,13.34256953588099,-1.3601586774533536,0.11293374862361746,0.84375,-1.3601586774533536,1.3601586774533536
generic_only__gb_p0_65__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.65,0.0,0.0,1,2012,32,32,10.227601287834128,13.343592656903482,-1.3701586774533538,0.11301248029463504,0.84375,-1.3701586774533538,1.3701586774533538
generic_only__gb_p0_70__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.7,0.0,0.0,1,2012,32,32,10.228851287834129,13.344623193141034,-1.380158677453354,0.11309128325352263,0.84375,-1.380158677453354,1.380158677453354
generic_only__gb_p0_75__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.75,0.0,0.0,1,2012,32,32,10.230101287834128,13.345661142875862,-1.3901586774533539,0.11317015745382314,0.84375,-1.3901586774533539,1.3901586774533539
generic_only__gb_p0_80__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.8,0.0,0.0,1,2012,32,32,10.231351287834128,13.346706504378364,-1.4001586774533539,0.11324910284901357,0.84375,-1.4001586774533539,1.4001586774533539
generic_only__gb_p0_85__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.85,0.0,0.0,1,2012,32,32,10.232601287834129,13.34775927590713,-1.4101586774533548,0.11332811939250503,0.84375,-1.4101586774533548,1.4101586774533548
generic_only__gb_p0_90__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.9,0.0,0.0,1,2012,32,32,10.233851287834128,13.348819455708954,-1.4201586774533534,0.11340720703764273,0.84375,-1.4201586774533534,1.4201586774533534
generic_only__gb_p0_95__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,0.95,0.0,0.0,1,2012,32,32,10.235101287834128,13.349887042018855,-1.4301586774533535,0.11348636573770596,0.84375,-1.4301586774533535,1.4301586774533535
generic_only__gb_p1_00__approval_p0_00__midterm_p0_00,generic_only,Generic ballot only,1.0,0.0,0.0,1,2012,32,32,10.236351287834129,13.35096203306009,-1.4401586774533537,0.11356559544590815,0.84375,-1.4401586774533537,1.4401586774533537
