model_id,model_family,model_family_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,component_count,n_observations,n_cycles,races,mae,rmse,mean_error_dem,brier,winner_accuracy,mean_error,absolute_mean_error,mae_rank,rmse_rank,brier_rank,winner_accuracy_rank,absolute_mean_error_rank,mean_primary_rank,overall_rank,pareto_optimal,mae_percentile,rmse_percentile,brier_percentile,absolute_mean_error_percentile,winner_accuracy_percentile,performance_score,near_best_performance,complexity_penalty,simplicity_aware_score,recommended
generic_only__gb_0_90,generic_only,Generic ballot only,0.9,0.0,0.0,1,234,7,234,7.768308721420263,11.402810546087508,1.6021243231426059,0.07435149086349499,0.9017094017094017,1.6021243231426059,1.6021243231426059,12.0,4.0,5.0,3.0,7.0,6.2,1,True,0.4444444444444444,0.14814814814814814,0.18518518518518517,0.25925925925925924,0.2222222222222222,0.2518518518518518,True,0.0,0.2518518518518518,True
generic_only__gb_0_95,generic_only,Generic ballot only,0.95,0.0,0.0,1,234,7,234,7.766088346274674,11.3988015174116,1.675564494082777,0.07446204784323103,0.9017094017094017,1.675564494082777,1.675564494082777,10.0,2.0,8.0,3.0,9.0,6.4,2,True,0.37037037037037035,0.07407407407407407,0.2962962962962963,0.3333333333333333,0.2222222222222222,0.25925925925925924,False,0.0,0.25925925925925924,False
generic_only__gb_0_85,generic_only,Generic ballot only,0.85,0.0,0.0,1,234,7,234,7.781003724382667,11.410143842397028,1.5286841522024348,0.07427985189079118,0.9017094017094017,1.5286841522024348,1.5286841522024348,16.0,6.0,3.0,3.0,5.0,6.6,3,True,0.5925925925925926,0.2222222222222222,0.1111111111111111,0.18518518518518517,0.2222222222222222,0.2666666666666666,False,0.0,0.2666666666666666,False
generic_only__gb_0_80,generic_only,Generic ballot only,0.8,0.0,0.0,1,234,7,234,7.80210782984984,11.42079500280186,1.4552439812622635,0.07424812071122401,0.9017094017094017,1.4552439812622635,1.4552439812622635,22.0,7.0,1.0,3.0,3.0,7.2,4,True,0.8148148148148148,0.25925925925925924,0.037037037037037035,0.1111111111111111,0.2222222222222222,0.28888888888888886,False,0.0,0.28888888888888886,False
generic_only__gb_0_75,generic_only,Generic ballot only,0.75,0.0,0.0,1,234,7,234,7.824428779362161,11.434754755807573,1.3818038103220929,0.07425725610902875,0.905982905982906,1.3818038103220929,1.3818038103220929,26.0,11.0,2.0,1.0,2.0,8.4,5,True,0.9629629629629629,0.4074074074074074,0.07407407407407407,0.07407407407407407,0.05555555555555555,0.31481481481481477,False,0.0,0.31481481481481477,False
generic_only__gb_1_00,generic_only,Generic ballot only,1.0,0.0,0.0,1,234,7,234,7.772636886524213,11.39812026407567,1.7490046650229472,0.07461051202329394,0.8974358974358975,1.7490046650229472,1.7490046650229472,13.0,1.0,11.0,10.0,12.0,9.4,7,True,0.48148148148148145,0.037037037037037035,0.4074074074074074,0.4444444444444444,0.5185185185185185,0.37777777777777777,False,0.0,0.37777777777777777,False
generic_only__gb_0_70,generic_only,Generic ballot only,0.7,0.0,0.0,1,234,7,234,7.849321941755324,11.452011002112718,1.3083636393819214,0.07430817550750757,0.905982905982906,1.3083636393819214,1.3083636393819214,27.0,23.0,4.0,1.0,1.0,11.2,11,True,1.0,0.8518518518518519,0.14814814814814814,0.037037037037037035,0.05555555555555555,0.4185185185185185,False,0.0,0.4185185185185185,False
generic_plus_approval_plus_midterm__gb_0_80,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.8,0.5,0.5,3,234,7,234,7.750387488274087,11.440181990000708,1.8535345795528613,0.07446286323878323,0.9017094017094017,1.8535345795528613,1.8535345795528613,3.0,16.0,9.0,3.0,16.0,9.4,6,True,0.1111111111111111,0.5925925925925926,0.3333333333333333,0.5925925925925926,0.2222222222222222,0.37037037037037035,False,0.06,0.43037037037037035,False
generic_plus_approval_plus_midterm__gb_0_75,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.75,0.5,0.5,3,234,7,234,7.759045569444537,11.448253508874757,1.780094408612691,0.07440634885929828,0.9017094017094017,1.780094408612691,1.780094408612691,8.0,20.0,7.0,3.0,13.0,10.2,8,True,0.2962962962962963,0.7407407407407407,0.25925925925925924,0.48148148148148145,0.2222222222222222,0.4,False,0.06,0.46,False
generic_plus_approval__gb_0_80,generic_plus_approval,Generic ballot + approval,0.8,0.5,0.0,2,234,7,234,7.752466465767919,11.440638869060663,1.6355858616041434,0.07470068620886938,0.8974358974358975,1.6355858616041434,1.6355858616041434,5.0,17.0,15.0,10.0,8.0,11.0,9,True,0.18518518518518517,0.6296296296296297,0.5555555555555556,0.2962962962962963,0.5185185185185185,0.437037037037037,False,0.03,0.46703703703703703,False
generic_plus_approval__gb_0_85,generic_plus_approval,Generic ballot + approval,0.85,0.5,0.0,2,234,7,234,7.744797425277882,11.434795469899504,1.7090260325443145,0.07478457776695253,0.8931623931623932,1.7090260325443145,1.7090260325443145,2.0,12.0,16.0,19.0,11.0,12.0,13,True,0.07407407407407407,0.4444444444444444,0.5925925925925926,0.4074074074074074,0.8518518518518519,0.47407407407407404,False,0.03,0.504074074074074,False
generic_plus_approval_plus_midterm__gb_0_85,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.85,0.5,0.5,3,234,7,234,7.750441662031456,11.435423095050606,1.9269747504930326,0.07455835206653816,0.8974358974358975,1.9269747504930326,1.9269747504930326,4.0,13.0,10.0,10.0,19.0,11.2,10,True,0.14814814814814814,0.48148148148148145,0.37037037037037035,0.7037037037037037,0.5185185185185185,0.4444444444444445,False,0.06,0.5044444444444445,False
generic_plus_approval__gb_0_90,generic_plus_approval,Generic ballot + approval,0.9,0.5,0.0,2,234,7,234,7.744047606390126,11.432268321825445,1.7824662034844858,0.07490732082705194,0.8931623931623932,1.7824662034844858,1.7824662034844858,1.0,8.0,19.0,19.0,14.0,12.2,14,True,0.037037037037037035,0.2962962962962963,0.7037037037037037,0.5185185185185185,0.8518518518518519,0.4814814814814815,False,0.03,0.5114814814814815,False
generic_plus_approval__gb_0_75,generic_plus_approval,Generic ballot + approval,0.75,0.5,0.0,2,234,7,234,7.767939703521074,11.449793441966362,1.5621456906639728,0.07465660615679676,0.8974358974358975,1.5621456906639728,1.5621456906639728,11.0,22.0,13.0,10.0,6.0,12.4,15,True,0.4074074074074074,0.8148148148148148,0.48148148148148145,0.2222222222222222,0.5185185185185185,0.4888888888888888,False,0.03,0.5188888888888888,False
generic_plus_approval_plus_midterm__gb_0_70,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.7,0.5,0.5,3,234,7,234,7.775090292470224,11.459630651997323,1.7066542376725198,0.074389740505929,0.9017094017094017,1.7066542376725198,1.7066542376725198,15.0,25.0,6.0,3.0,10.0,11.8,12,False,0.5555555555555556,0.9259259259259259,0.2222222222222222,0.37037037037037035,0.2222222222222222,0.45925925925925926,False,0.06,0.5192592592592593,False
generic_only__gb_1_05,generic_only,Generic ballot only,1.05,0.0,0.0,1,234,7,234,7.788320670456976,11.400767382633793,1.8224448359631182,0.07479586113744564,0.8931623931623932,1.8224448359631182,1.8224448359631182,18.0,3.0,17.0,19.0,15.0,14.4,17,False,0.6666666666666666,0.1111111111111111,0.6296296296296297,0.5555555555555556,0.8518518518518519,0.562962962962963,False,0.0,0.562962962962963,False
generic_plus_approval__gb_0_70,generic_plus_approval,Generic ballot + approval,0.7,0.5,0.0,2,234,7,234,7.789371444315882,11.462251254999476,1.488705519723802,0.07465326952365245,0.8974358974358975,1.488705519723802,1.488705519723802,19.0,27.0,12.0,10.0,4.0,14.4,18,True,0.7037037037037037,1.0,0.4444444444444444,0.14814814814814814,0.5185185185185185,0.5629629629629629,False,0.03,0.5929629629629629,False
generic_plus_approval__gb_0_95,generic_plus_approval,Generic ballot + approval,0.95,0.5,0.0,2,234,7,234,7.756993813636709,11.4330596238977,1.8559063744246564,0.07506793636366621,0.8931623931623932,1.8559063744246564,1.8559063744246564,7.0,9.0,21.0,19.0,17.0,14.6,19,False,0.25925925925925924,0.3333333333333333,0.7777777777777778,0.6296296296296297,0.8518518518518519,0.5703703703703704,False,0.03,0.6003703703703704,False
