held_out_cycle,model,intercept,coef_president_party_generic_ballot,coef_real_jan_oct_vs_prior_year_pct,coef_october_gas_price_real,coef_jan_oct_vs_prior_year_pct
1978,mean_only,-7.1661576921765215,,,,
1978,generic_ballot_only,-2.4468247463647925,0.8938130579188887,,,
1978,generic_ballot_plus_real_gas_burden,-2.7144933345720235,0.7907173869984883,-0.089275882896339,,
1978,generic_ballot_plus_october_real_gas,0.2765979314236193,0.8190445310940274,,-0.8654189053337454,
1978,generic_ballot_plus_nominal_gas_burden,-2.44124542505281,0.8210566426787795,,,-0.05709052852547635
1982,mean_only,-6.764560575083581,,,,
1982,generic_ballot_only,-4.977790876753033,0.5447468592471186,,,
1982,generic_ballot_plus_real_gas_burden,-5.005404398607833,0.37870103286325346,-0.1393053671496658,,
1982,generic_ballot_plus_october_real_gas,2.1371793965483,0.4552256525254055,,-2.1130453666673445,
1982,generic_ballot_plus_nominal_gas_burden,-4.605273861131984,0.4368684423909867,,,-0.09615336503968372
1990,mean_only,-7.660241844232269,,,,
1990,generic_ballot_only,-5.494919917721521,0.6222189443996403,,,
1990,generic_ballot_plus_real_gas_burden,-5.593384939749868,0.5288338445582833,-0.10414983599756299,,
1990,generic_ballot_plus_october_real_gas,-1.0109118613735717,0.5507447057116345,,-1.3139886206607496,
1990,generic_ballot_plus_nominal_gas_burden,-5.222994717830437,0.54867161258276,,,-0.08731140104069707
1994,mean_only,-6.333008141825106,,,,
1994,generic_ballot_only,-4.577189049803061,0.49045226034135225,,,
1994,generic_ballot_plus_real_gas_burden,-4.6497042201648915,0.35068479674258474,-0.14891790429992793,,
1994,generic_ballot_plus_october_real_gas,9.886923552560466,0.24118480569746714,,-4.16256823147523,
1994,generic_ballot_plus_nominal_gas_burden,-4.129457301310362,0.38227179187834254,,,-0.11858338568637963
1998,mean_only,-7.536077173182482,,,,
1998,generic_ballot_only,-5.2244132068466,0.49820344102066433,,,
1998,generic_ballot_plus_real_gas_burden,-5.099912295867572,0.4246871846384194,-0.11458436530392048,,
1998,generic_ballot_plus_october_real_gas,2.3363526278887576,0.4404027570020834,,-2.096479168598501,
1998,generic_ballot_plus_nominal_gas_burden,-4.711753270308421,0.4507710006541556,,,-0.08769604398879911
2002,mean_only,-8.165287961719958,,,,
2002,generic_ballot_only,-6.389021694601206,0.39916095890308967,,,
2002,generic_ballot_plus_real_gas_burden,-6.3542468731274475,0.35429187797535167,-0.0617329842637705,,
2002,generic_ballot_plus_october_real_gas,-3.547045388068204,0.36559918587348844,,-0.8129453000434816,
2002,generic_ballot_plus_nominal_gas_burden,-6.212808585225492,0.37730725348773353,,,-0.033804113101288884
2006,mean_only,-6.60229460435576,,,,
2006,generic_ballot_only,-4.938235264240206,0.5316483514746188,,,
2006,generic_ballot_plus_real_gas_burden,-5.073815807008511,0.4356667847680523,-0.11691934743906911,,
2006,generic_ballot_plus_october_real_gas,1.5599625646036028,0.4257227817100177,,-1.9128078388215215,
2006,generic_ballot_plus_nominal_gas_burden,-4.667742943553926,0.46102553796166734,,,-0.08998540573836844
2010,mean_only,-5.909733067698099,,,,
2010,generic_ballot_only,-4.528791653852458,0.41345551312743684,,,
2010,generic_ballot_plus_real_gas_burden,-4.629571839398714,0.3707345835001064,-0.06043339709364878,,
2010,generic_ballot_plus_october_real_gas,-0.20196723386411938,0.3558417512806874,,-1.2839710146435006,
2010,generic_ballot_plus_nominal_gas_burden,-4.392021482396767,0.37666707860810233,,,-0.05270683775032586
2014,mean_only,-6.97074734901594,,,,
2014,generic_ballot_only,-4.817392288993129,0.5330086782234679,,,
2014,generic_ballot_plus_real_gas_burden,-4.879033805743098,0.4292067664204281,-0.12131863257468253,,
2014,generic_ballot_plus_october_real_gas,2.0077947799733975,0.420078450964719,,-2.081020992318179,
2014,generic_ballot_plus_nominal_gas_burden,-4.440939423334744,0.45546818480043516,,,-0.09574760952361001
2018,mean_only,-6.721239112808227,,,,
2018,generic_ballot_only,-4.870625027029108,0.521299742472991,,,
2018,generic_ballot_plus_real_gas_burden,-5.0607109829019175,0.4276903493513992,-0.11623566969550203,,
2018,generic_ballot_plus_october_real_gas,1.5307546857945515,0.426272520886225,,-1.8901020654020955,
2018,generic_ballot_plus_nominal_gas_burden,-4.640596049579709,0.45253406220345815,,,-0.08848213017932531
2022,mean_only,-7.104549928144666,,,,
2022,generic_ballot_only,-4.976776186838731,0.5279835586367084,,,
2022,generic_ballot_plus_real_gas_burden,-6.152439885036846,0.2685719135218145,-0.26620903278371133,,
2022,generic_ballot_plus_october_real_gas,2.951909266454391,0.39716185201696275,,-2.418398152884989,
2022,generic_ballot_plus_nominal_gas_burden,-5.2321883892233325,0.28304678054267474,,,-0.25511795183445274
