holdout_cycle,term,coefficient,training_rows,training_cycles,training_residual_sd
2012,generic_ballot_margin_dem,1.2549441515311017,202,6,10.862306611086707
2014,generic_ballot_margin_dem,1.2833627233216296,199,6,11.218732445609026
2016,generic_ballot_margin_dem,1.1161570494999489,201,6,10.563252314243115
2018,generic_ballot_margin_dem,0.736015765511528,201,6,11.184393633660932
2020,generic_ballot_margin_dem,1.5029408408846476,201,6,11.549681140895023
2022,generic_ballot_margin_dem,1.1937812466416178,200,6,11.667712978637079
2024,generic_ballot_margin_dem,1.1851954017959994,200,6,11.886877162675768
2012,intercept,-2.683175840765028,202,6,10.862306611086707
2014,intercept,-2.420238522346322,199,6,11.218732445609026
2016,intercept,-1.1018505416394722,201,6,10.563252314243115
2018,intercept,-2.315764663703805,201,6,11.184393633660932
2020,intercept,-1.6965977593146397,201,6,11.549681140895023
2022,intercept,-2.0693788221311955,200,6,11.667712978637079
2024,intercept,-1.8161096873878284,200,6,11.886877162675768
2012,presidential_margin_dem,1.0035793646062336,202,6,10.862306611086707
2014,presidential_margin_dem,1.0226622608757499,199,6,11.218732445609026
2016,presidential_margin_dem,0.9872650199565357,201,6,10.563252314243115
2018,presidential_margin_dem,1.050932534747425,201,6,11.184393633660932
2020,presidential_margin_dem,1.0045936374506885,201,6,11.549681140895023
2022,presidential_margin_dem,1.0062084437399008,200,6,11.667712978637079
2024,presidential_margin_dem,1.0374507075272235,200,6,11.886877162675768
