model_name,cycle,days_before_election,observations,mae,rmse,mean_error,median_absolute_error,winner_accuracy,dem_win_accuracy,gop_win_accuracy,predicted_dem_win_rate,actual_dem_win_rate
Baseline polling: 14-day recency + sqrt sample size,2018,0,30,3.8200971747635064,5.087973048378819,0.37378574833980943,2.6179610997154983,0.9,0.95,0.8,0.7,0.6666666666666666
Baseline polling: 14-day recency + sqrt sample size,2018,7,29,4.02193443512122,5.163404032031222,0.10894401211867345,3.2372786719041375,0.9310344827586207,1.0,0.7777777777777778,0.7586206896551724,0.6896551724137931
Baseline polling: 14-day recency + sqrt sample size,2018,14,29,3.8783023078187977,4.838419991869217,0.24172536753574148,2.992823695770973,0.896551724137931,0.95,0.7777777777777778,0.7241379310344828,0.6896551724137931
Baseline polling: 14-day recency + sqrt sample size,2018,30,29,3.640103454310767,4.823720813936082,1.6501009646814295,2.699964357462772,0.896551724137931,0.95,0.7777777777777778,0.7241379310344828,0.6896551724137931
Baseline polling: 14-day recency + sqrt sample size,2018,60,28,4.9434595267453885,6.6553213373562805,-0.3679796347452774,3.191914368447426,0.8928571428571429,0.9473684210526315,0.7777777777777778,0.7142857142857143,0.6785714285714286
Baseline polling: 14-day recency + sqrt sample size,2018,90,27,4.755105704744086,6.081876268790747,-0.2029918389947268,4.000002593676545,0.9629629629629629,1.0,0.8888888888888888,0.7037037037037037,0.6666666666666666
Baseline polling: 14-day recency + sqrt sample size,2018,120,25,3.371501262386729,4.009897533064065,0.30446785482296373,3.098228895813841,0.96,1.0,0.8888888888888888,0.68,0.64
Baseline polling: 14-day recency + sqrt sample size,2020,0,30,7.456676081650694,9.063895299010456,7.324114356947956,6.6988958671568675,0.9,1.0,0.8333333333333334,0.5,0.4
Baseline polling: 14-day recency + sqrt sample size,2020,7,27,6.86076874238513,8.589592116022965,6.842673820984283,5.850012281498169,0.8888888888888888,1.0,0.8125,0.5185185185185185,0.4074074074074074
Baseline polling: 14-day recency + sqrt sample size,2020,14,25,7.515071613597498,9.617416690210902,5.559452098285606,7.851212686334946,0.92,1.0,0.8571428571428571,0.52,0.44
Baseline polling: 14-day recency + sqrt sample size,2020,30,24,7.059756412425237,8.65932847162792,4.776175042734994,7.0283658779891205,0.875,1.0,0.7692307692307693,0.5833333333333334,0.4583333333333333
Baseline polling: 14-day recency + sqrt sample size,2020,60,21,6.067483119384493,7.163859302617573,5.960350866140372,6.178881192136119,0.9523809523809523,1.0,0.9230769230769231,0.42857142857142855,0.38095238095238093
Baseline polling: 14-day recency + sqrt sample size,2020,90,19,6.3490893638658985,7.251164620863043,5.745127057440785,6.3848603676263025,0.8947368421052632,1.0,0.8333333333333334,0.47368421052631576,0.3684210526315789
Baseline polling: 14-day recency + sqrt sample size,2020,120,18,6.149270011947343,7.104705968906105,5.496578557315159,5.422782345276797,0.8333333333333334,1.0,0.7272727272727273,0.5555555555555556,0.3888888888888889
Baseline polling: 14-day recency + sqrt sample size,2022,0,29,5.982718608956149,7.677102507624597,1.9324647119395666,4.090896223564041,0.9655172413793104,0.9285714285714286,1.0,0.4482758620689655,0.4827586206896552
