days_out,poll_count_bucket,observations,mean_polling_weight,mean_abs_probability_movement,max_abs_probability_movement,winner_call_changes
120,1,15,0.054,0.0013578243423572277,0.012171605528073393,0
120,2,10,0.099,0.006984902324982325,0.018654076910643358,0
120,3,9,0.135,0.02865291461798071,0.10948156766137718,1
120,4-5,10,0.18,0.0014430344505475313,0.005014105536641389,0
120,6+,36,0.18,0.03339756505837574,0.10888816426669606,0
90,1,13,0.0795,0.0016756299818598695,0.017230857999477767,0
90,2,10,0.14575,0.0061765660483885905,0.0274811623582214,0
90,3,7,0.19875,0.01685084914379274,0.05244615183373713,0
90,4-5,16,0.265,0.015907237709706937,0.07324040630786055,0
90,6+,41,0.265,0.06233358415197596,0.2600652991397475,4
60,1,15,0.105,0.0004667370783231973,0.0035039008150796747,0
60,2,12,0.1925,0.0009962613973518257,0.005926212881693751,0
60,3,2,0.2624999999999999,0.015433007208138042,0.030854516780838503,0
60,4-5,16,0.35,0.029586495155750805,0.15952899782274926,1
60,6+,52,0.35,0.06254683827218357,0.3697004923221877,4
30,1,13,0.15,6.410461830410274e-05,0.0004749236936227724,0
30,2,11,0.275,0.00014118710244964586,0.0013568886736499742,0
30,3,5,0.375,0.0005446093618270371,0.0014619355001465732,0
30,4-5,11,0.5,0.004482401049793632,0.04362297780686882,0
30,6+,68,0.5,0.07571302296900752,0.6337929704992301,4
14,1,12,0.18200000000000002,6.853322313802435e-05,0.0005593057428559276,0
14,2,9,0.3336666666666667,0.0002657338063028187,0.002203444564165504,0
14,3,5,0.45499999999999996,8.054478310877231e-05,0.00014561306602913648,0
14,4-5,9,0.6066666666666667,0.00069048127209544,0.0034435749841188446,0
14,6+,76,0.6065094379349759,0.06956914286574552,0.693809120487525,3
7,1,16,0.1959999999999999,5.627354203229676e-05,0.0005945807884896828,0
7,2,7,0.3593333333333333,0.0004085167642343633,0.0027055469219948963,0
7,3,3,0.49,4.258344844290082e-05,0.00012629792720493933,0
7,4-5,13,0.6533333333333332,0.0004930890837947389,0.0034631882423227173,0
7,6+,77,0.6531587902547096,0.06900246350566105,0.696470144498978,3
0,1,16,0.21,5.9789802116317634e-05,0.0006288949730616205,0
0,2,8,0.385,2.1115504315081974e-05,0.00011552622338384388,0
0,3,5,0.5249999999999999,0.00027520672472376446,0.0012310425302390438,0
0,4-5,12,0.6999999999999998,0.0006718630491883608,0.0037475650039768826,0
0,6+,79,0.6975754976512724,0.07174625707362468,0.7003613370849576,4
