simulation,dem_seats,dem_control,national_error
1,21.0,1,-1.1732288241831854
2,20.0,1,-2.906275214087467
3,21.0,1,0.6788926519056059
4,23.0,1,6.206205734242993
5,22.0,1,1.8697797993368483
6,21.0,1,-0.16372976259690103
7,20.0,1,0.279000345026483
8,19.0,1,-5.434035416348201
9,21.0,1,-1.8307969827092188
10,23.0,1,1.6894861756542294
11,20.0,1,-1.3106703367515478
12,22.0,1,1.4693229097652414
13,19.0,1,-3.417944623999601
14,21.0,1,-1.2905669290159651
15,21.0,1,-0.09307732387795417
16,23.0,1,7.104462517294745
17,21.0,1,0.3340520899372221
18,19.0,1,-1.886808829137494
19,23.0,1,4.588810472240294
20,23.0,1,3.428075297717402
21,21.0,1,0.8400473322971291
22,20.0,1,-1.902805515144687
23,23.0,1,2.618186945329138
24,20.0,1,-1.1143730344280471
25,20.0,1,-1.4004170005543084
26,22.0,1,-0.629493015248472
27,22.0,1,0.5636489670467988
28,19.0,1,-0.2936316571993799
29,21.0,1,0.6593902021339806
30,19.0,1,-5.0827617254880595
31,21.0,1,-1.665107398859318
32,22.0,1,3.6059419933530523
33,22.0,1,0.36147148435575105
34,22.0,1,2.5235351449814614
35,23.0,1,0.8551845938638816
36,20.0,1,-3.3357668125508555
37,23.0,1,5.445712423703926
38,18.0,1,-5.539349558919031
39,22.0,1,2.721295083470014
40,20.0,1,-0.5990394926130473
41,22.0,1,1.4680756304134734
42,22.0,1,3.5305990598325034
43,22.0,1,-0.14581777460787312
44,21.0,1,0.020206056918272042
45,22.0,1,0.16664181609227893
46,21.0,1,-0.946301380017107
47,21.0,1,0.8453467825994874
48,21.0,1,0.37040702841277084
49,20.0,1,-1.8233981445816316
50,18.0,1,-4.34895735711759
51,21.0,1,0.9421193776777264
52,22.0,1,-0.4974282459662719
53,20.0,1,-0.7168117828781404
54,21.0,1,-0.6134414122672244
55,19.0,1,-1.6523852979230433
56,20.0,1,-2.1591146591231314
57,19.0,1,-3.0090193705012847
58,19.0,1,-4.393600846543842
59,17.0,1,-8.182573429022913
60,20.0,1,-1.3651672484523347
61,19.0,1,-3.5306438894139047
62,21.0,1,-0.024806106901048598
63,21.0,1,0.5568325058076837
64,21.0,1,1.4252059029973634
65,20.0,1,-1.0434024782337499
66,20.0,1,-2.41834212979227
67,22.0,1,2.1073362804215248
68,18.0,1,-5.422240622385724
69,20.0,1,-1.4095468959862767
70,21.0,1,-0.5330944109880722
71,22.0,1,1.2172670478869716
72,23.0,1,3.1721673017070566
73,20.0,1,-2.195658414459225
74,21.0,1,2.0430404561520774
75,21.0,1,-0.5504902436645794
76,19.0,1,-2.8300540938606797
77,22.0,1,1.0700896022626263
78,21.0,1,-1.433804507336422
79,23.0,1,2.091347181286349
80,24.0,1,6.911396623582143
81,17.0,1,-7.751188778035351
82,22.0,1,0.6827252259023135
83,22.0,1,1.799728457647711
84,24.0,1,8.479950077971836
85,23.0,1,4.607732469163753
86,19.0,1,-3.288653848781974
87,20.0,1,-2.8198025382106833
