state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,bayesian_model_margin_dem,candidate_uncertainty_penalty,race_id,cycle,actual_margin_dem
AK,Historical Democratic nominee,Historical Republican nominee,D,Safe,-16.79058096312075,-14.63058096312075,1.0,0.95,1.0,-16.79058096312075,0.0,2014_AK,2014,-2.2704963832132705
AR,Historical Democratic nominee,Historical Republican nominee,D,Safe,-26.46881070245924,-24.30881070245924,1.0,0.95,1.0,-26.46881070245924,0.0,2014_AR,2014,-17.791666102906177
CO,Historical Democratic nominee,Historical Republican nominee,D,Lean,3.3359766284050316,5.495976628405032,1.0,1.05,1.0,3.3359766284050316,0.0,2014_CO,2014,-2.0584058661040388
DE,Historical Democratic nominee,Historical Republican nominee,D,Safe,16.73390983855633,18.89390983855633,1.0,0.95,1.0,16.73390983855633,0.0,2014_DE,2014,13.871482233591024
GA,Historical Democratic nominee,Historical Republican nominee,R,Likely,-10.073298196113443,-7.913298196113445,1.0,1.0,1.0,-10.073298196113443,0.0,2014_GA,2014,-7.831874164069305
HI,Historical Democratic nominee,Historical Republican nominee,D,Safe,41.247697002148826,43.40769700214883,1.0,0.95,1.0,41.247697002148826,0.0,2014_HI,2014,43.157412428624866
IA,Historical Democratic nominee,Historical Republican nominee,D,Lean,3.758703856200352,5.918703856200352,1.0,1.05,1.0,3.758703856200352,0.0,2014_IA,2014,-8.698964398007291
ID,Historical Democratic nominee,Historical Republican nominee,R,Safe,-35.002773687150665,-32.84277368715067,1.0,0.95,1.0,-35.002773687150665,0.0,2014_ID,2014,-30.65672392890638
IL,Historical Democratic nominee,Historical Republican nominee,D,Safe,14.995046784233818,17.155046784233818,1.0,0.95,1.0,14.995046784233818,0.0,2014_IL,2014,11.27730879697269
KS,Historical Democratic nominee,Historical Republican nominee,R,Safe,-24.38665349050611,-22.22665349050611,1.0,0.95,1.0,-24.38665349050611,0.0,2014_KS,2014,-11.098776187913444
KY,Historical Democratic nominee,Historical Republican nominee,R,Safe,-25.24554478760982,-23.08554478760982,1.0,0.95,1.0,-25.24554478760982,0.0,2014_KY,2014,-15.960574494155525
LA,Historical Democratic nominee,Historical Republican nominee,D,Safe,-19.65365122822796,-17.49365122822796,1.0,0.95,1.0,-19.65365122822796,0.0,2014_LA,2014,-4.61783687567376
MA,Historical Democratic nominee,Historical Republican nominee,D,Safe,21.411361498120012,23.571361498120012,1.0,0.95,1.0,21.411361498120012,0.0,2014_MA,2014,23.920238014039143
ME,Historical Democratic nominee,Historical Republican nominee,R,Safe,13.55984278715422,15.71984278715422,1.0,0.95,1.0,13.55984278715422,0.0,2014_ME,2014,-36.97684009679358
MI,Historical Democratic nominee,Historical Republican nominee,D,Likely,7.441064142355751,9.601064142355751,1.0,1.0,1.0,7.441064142355751,0.0,2014_MI,2014,13.847021920547816
MN,Historical Democratic nominee,Historical Republican nominee,D,Lean,5.722452923396386,7.882452923396386,1.0,1.05,1.0,5.722452923396386,0.0,2014_MN,2014,10.663790458498127
MS,Historical Democratic nominee,Historical Republican nominee,R,Safe,-13.76379839757556,-11.60379839757556,1.0,0.95,1.0,-13.76379839757556,0.0,2014_MS,2014,-22.50161833247023
MT,Historical Democratic nominee,Historical Republican nominee,D,Safe,-16.228463727762918,-14.068463727762918,1.0,0.95,1.0,-16.228463727762918,0.0,2014_MT,2014,-18.106180556131235
NC,Historical Democratic nominee,Historical Republican nominee,D,Lean,-4.2280698060100015,-2.0680698060100013,1.0,1.05,1.0,-4.2280698060100015,0.0,2014_NC,2014,-1.6283279362778558
NE,Historical Democratic nominee,Historical Republican nominee,R,Safe,-24.41878053645073,-22.25878053645073,1.0,0.95,1.0,-24.41878053645073,0.0,2014_NE,2014,-34.283832564319965
NH,Historical Democratic nominee,Historical Republican nominee,D,Lean,3.5075039565162136,5.667503956516214,1.0,1.05,1.0,3.5075039565162136,0.0,2014_NH,2014,3.255085493010725
NJ,Historical Democratic nominee,Historical Republican nominee,D,Safe,15.743931101171553,17.90393110117155,1.0,0.95,1.0,15.743931101171553,0.0,2014_NJ,2014,13.76275567892334
NM,Historical Democratic nominee,Historical Republican nominee,D,Likely,8.430409293817387,10.590409293817387,1.0,1.0,1.0,8.430409293817387,0.0,2014_NM,2014,11.11762035747401
OK,Historical Democratic nominee,Historical Republican nominee,R,Safe,-35.704639486033116,-33.54463948603311,1.0,0.95,1.0,-35.704639486033116,0.0,2014_OK_REGULAR,2014,-40.86688126914103
OK,Historical Democratic nominee,Historical Republican nominee,R,Safe,-35.704639486033116,-33.54463948603311,1.0,0.95,1.0,-35.704639486033116,0.0,2014_OK_SPECIAL,2014,-40.13951001666823
OR,Historical Democratic nominee,Historical Republican nominee,D,Likely,10.382334357494768,12.542334357494768,1.0,1.0,1.0,10.382334357494768,0.0,2014_OR,2014,20.370419629609927
RI,Historical Democratic nominee,Historical Republican nominee,D,Safe,25.873491957764248,28.033491957764248,1.0,0.95,1.0,25.873491957764248,0.0,2014_RI,2014,41.40580795867984
SC,Historical Democratic nominee,Historical Republican nominee,R,Safe,-12.776509409130744,-10.616509409130742,1.0,0.95,1.0,-12.776509409130744,0.0,2014_SC_REGULAR,2014,-16.640291747625824
