state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,candidate_uncertainty_penalty,race_uncertainty_sd,simulated_dem_win_prob,avg_simulated_margin_dem,margin_p25_dem,margin_p50_dem,margin_p75_dem,tipping_count,tipping_share_of_control_sims
AZ,Historical Democratic nominee,Historical Republican nominee,R,Toss-up,2.791759107726598,-3.778240892273402,2.791759107726598,2.791759107726598,0.6242419461676145,1.0,1.1,1.0,0.0,1.4934095218659889,0.80086,2.782318293608987,0.5566005275036793,2.796730251960592,5.008949547638007,18697,0.3816415259945704
CT,Historical Democratic nominee,Historical Republican nominee,D,Safe,20.85309503452728,14.283095034527278,20.85309503452728,20.85309503452728,0.9779354587793594,1.0,0.95,1.0,0.0,1.289762768884263,1.0,20.851731702935854,18.710682260338544,20.832280476447856,23.003287337579792,0,0.0
DE,Historical Democratic nominee,Historical Republican nominee,D,Safe,18.567242887362447,11.997242887362448,18.567242887362447,18.567242887362447,0.9669415979817817,1.0,0.95,1.0,0.0,1.289762768884263,1.0,18.55907278003656,16.41475533172275,18.561304921577896,20.708346728943177,0,0.0
FL,Historical Democratic nominee,Historical Republican nominee,D,Lean,5.3323290544490405,-1.2376709455509598,5.3323290544490405,5.3323290544490405,0.7250226915532744,1.0,1.05,1.0,0.0,1.42552727087208,0.95018,5.34016735358763,3.1715876998889883,5.342867084793982,7.509931674130708,4923,0.10048784470617052
HI,Historical Democratic nominee,Historical Republican nominee,D,Safe,41.452674901070914,34.882674901070914,41.452674901070914,41.452674901070914,0.9994672098436098,1.0,0.95,1.0,0.0,1.289762768884263,1.0,41.4431543917417,39.283945218956774,41.43585940799008,43.58449469703511,0,0.0
IN,Historical Democratic nominee,Historical Republican nominee,D,Safe,-13.664619049016142,-20.234619049016143,-13.664619049016142,-13.664619049016142,0.07695364763025764,1.0,0.95,1.0,0.0,1.289762768884263,0.0,-13.661348765965887,-15.829124888377597,-13.664441744584234,-11.51161518590218,0,0.0
MA,Historical Democratic nominee,Historical Republican nominee,D,Safe,35.872557379258986,29.302557379258985,35.872557379258986,35.872557379258986,0.9985318503144268,1.0,0.95,1.0,0.0,1.289762768884263,1.0,35.870672236459164,33.73326698766802,35.874148512062646,38.00551411727986,0,0.0
MD,Historical Democratic nominee,Historical Republican nominee,D,Safe,34.59199101713032,28.02199101713032,34.59199101713032,34.59199101713032,0.9981476625803615,1.0,0.95,1.0,0.0,1.289762768884263,1.0,34.589430638921144,32.45505114462723,34.565181381786466,36.738250890219234,0,0.0
MI,Historical Democratic nominee,Historical Republican nominee,D,Lean,6.334663566076905,-0.235336433923095,6.334663566076905,6.334663566076905,0.7598316960229065,1.0,1.05,1.0,0.0,1.42552727087208,0.97514,6.34563438559961,4.153800194957454,6.342547820053137,8.529877666971384,2145,0.04378355208099447
MN,Historical Democratic nominee,Historical Republican nominee,D,Likely,8.233387414360969,1.6633874143609688,8.233387414360969,8.233387414360969,0.8171235515972622,1.0,1.0,1.0,0.0,1.3576450198781715,0.99468,8.232244359258724,6.054336068705092,8.228036517939216,10.399457026046537,173,0.003531260843828458
