probability_bucket,races,mean_predicted_probability,actual_dem_win_rate,calibration_error
"(-0.001, 0.1]",101,0.0024225742574257424,0.039603960396039604,-0.03718138613861386
"(0.1, 0.2]",4,0.14475,0.0,0.14475
"(0.2, 0.3]",3,0.24014666666666665,0.6666666666666666,-0.42652
"(0.3, 0.4]",2,0.35889,0.5,-0.14111
"(0.4, 0.5]",3,0.43696,0.6666666666666666,-0.22970666666666661
"(0.5, 0.6]",4,0.5398350000000001,0.75,-0.21016499999999994
"(0.6, 0.7]",4,0.636395,0.5,0.13639500000000004
"(0.7, 0.8]",6,0.7603866666666667,0.8333333333333334,-0.07294666666666672
"(0.8, 0.9]",5,0.850348,0.4,0.45034799999999997
"(0.9, 1.0]",102,0.994576274509804,0.9313725490196079,0.06320372549019615
