global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_log_loss,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,pareto_optimal,recommended
5.0,234,0.07602756199173544,0.389374081122112,0.060018172323749536,0.08249219722212653,0.2970150033274356,0.3333333333333333,-0.16666666666666669,0.16666666666666669,0.5726495726495726,-0.22735042735042743,0.22735042735042743,0.7393162393162394,-0.2106837606837606,0.2106837606837606,0.2015669515669516,0.22735042735042743,25.0,61.0,30.0,61.0,44.25,False,False
5.25,234,0.07568123358995524,0.3807305429885689,0.06096958832492331,0.08964596501344732,0.3405127940375624,0.33760683760683763,-0.16239316239316237,0.16239316239316237,0.5897435897435898,-0.2102564102564103,0.2102564102564103,0.7606837606837606,-0.1893162393162393,0.1893162393162393,0.18732193732193733,0.2102564102564103,23.0,60.0,31.0,60.0,43.5,False,False
5.5,234,0.07537434253717443,0.36832451969181634,0.059318449718503016,0.08888479502981345,0.35068055511400675,0.34615384615384615,-0.15384615384615385,0.15384615384615385,0.6068376068376068,-0.19316239316239325,0.19316239316239325,0.782051282051282,-0.1679487179487179,0.1679487179487179,0.17165242165242167,0.19316239316239325,20.0,59.0,26.0,54.0,39.75,False,False
5.75,234,0.07510457401192831,0.35351225144769294,0.057543029032613754,0.0885413226752675,0.3413007711523366,0.36324786324786323,-0.13675213675213677,0.13675213675213677,0.6239316239316239,-0.1760683760683761,0.1760683760683761,0.7991452991452992,-0.15085470085470076,0.15085470085470076,0.15455840455840456,0.1760683760683761,18.0,58.0,25.0,46.0,36.75,False,False
6.0,234,0.07486992670102043,0.3407534376922716,0.05662304802285281,0.08964504922241354,0.33253937771290243,0.37606837606837606,-0.12393162393162394,0.12393162393162394,0.6410256410256411,-0.15897435897435896,0.15897435897435896,0.8076923076923077,-0.14230769230769225,0.14230769230769225,0.14173789173789172,0.15897435897435896,16.0,57.0,21.0,40.0,33.5,False,False
6.25,234,0.0746686820651124,0.3297378068939459,0.054773228441791263,0.08520195786683857,0.3243442481605979,0.405982905982906,-0.09401709401709402,0.09401709401709402,0.6538461538461539,-0.1461538461538462,0.1461538461538462,0.8290598290598291,-0.12094017094017084,0.12094017094017084,0.12037037037037035,0.1461538461538462,14.0,56.0,19.0,33.0,30.5,False,False
6.5,234,0.07449936810852817,0.32021264385198905,0.04429208344669886,0.0739428580501106,0.336245804322418,0.4358974358974359,-0.0641025641025641,0.0641025641025641,0.6623931623931624,-0.13760683760683767,0.13760683760683767,0.8333333333333334,-0.11666666666666659,0.11666666666666659,0.10612535612535612,0.13760683760683767,12.0,52.0,14.0,29.0,26.75,False,False
6.75,234,0.07436072102705353,0.31197027635428576,0.0475314144088619,0.08649213900434255,0.4861994930750896,0.44017094017094016,-0.05982905982905984,0.05982905982905984,0.6709401709401709,-0.12905982905982916,0.12905982905982916,0.8461538461538461,-0.10384615384615381,0.10384615384615381,0.0975783475783476,0.12905982905982916,10.0,47.0,15.0,26.0,24.5,False,False
7.0,234,0.07425164754326176,0.3048386237504413,0.03868452361055892,0.0535102083869376,0.27266780076975,0.44871794871794873,-0.051282051282051266,0.051282051282051266,0.6837606837606838,-0.11623931623931627,0.11623931623931627,0.8504273504273504,-0.09957264957264955,0.09957264957264955,0.08903133903133903,0.11623931623931627,8.0,42.0,10.0,24.0,21.0,False,False
7.25,234,0.07417118990982523,0.2986739857966663,0.03398333141466694,0.05228267846948058,0.26138696489040164,0.45726495726495725,-0.04273504273504275,0.04273504273504275,0.7051282051282052,-0.09487179487179487,0.09487179487179487,0.8717948717948718,-0.07820512820512815,0.07820512820512815,0.07193732193732193,0.09487179487179487,6.0,38.0,3.0,17.0,16.0,False,False
