cycle,election_type,president_party,dem_votes,gop_votes,two_party_votes,dem_two_party_share,gop_two_party_share,house_margin_dem,previous_house_margin_dem,house_margin_change_dem,president_party_house_margin,president_party_house_margin_change
1976,presidential,R,41486982,31194553,72681535,0.5708049781832484,0.4291950218167517,14.16099563664967,,,-14.16099563664967,
1978,midterm,D,29129018,24373365,53502383,0.5444433755408614,0.4555566244591386,8.888675108172283,14.16099563664967,-5.272320528477387,8.888675108172283,-5.272320528477387
1980,presidential,D,39119333,37068793,76188126,0.5134570838505728,0.4865429161494273,2.6914167701145466,8.888675108172283,-6.197258338057736,2.6914167701145466,-6.197258338057736
1982,midterm,R,35126417,27610694,62737111,0.5598985423476067,0.44010145765239334,11.979708469521338,2.6914167701145466,9.288291699406791,-11.979708469521338,-9.288291699406791
1984,presidential,R,42799090,38540768,81339858,0.5261761091345893,0.47382389086541066,5.2352218269178685,11.979708469521338,-6.744486642603469,-5.2352218269178685,6.744486642603469
1986,midterm,R,32338351,26407309,58745660,0.5504806823176385,0.44951931768236153,10.096136463527694,5.2352218269178685,4.8609146366098255,-10.096136463527694,-4.8609146366098255
1988,presidential,R,43473091,37015826,80488917,0.5401127586298621,0.459887241370138,8.02255172597241,10.096136463527694,-2.0735847375552847,-8.02255172597241,2.0735847375552847
1990,midterm,R,32397736,27402044,59799780,0.5417701536694617,0.4582298463305383,8.354030733892337,8.02255172597241,0.3314790079199277,-8.354030733892337,-0.3314790079199277
1992,presidential,R,48550099,42574193,91124292,0.5327898624441438,0.4672101375558561,6.5579724888287725,8.354030733892337,-1.7960582450635645,-6.5579724888287725,1.7960582450635645
1994,midterm,D,31543828,36325817,67869645,0.4647707822841861,0.5352292177158139,-7.0458435431627775,6.5579724888287725,-13.603816031991549,-7.0458435431627775,-13.603816031991549
1996,presidential,D,42794991,42157246,84952237,0.5037535503626585,0.4962464496373415,0.7507100725316962,-7.0458435431627775,7.7965536156944735,0.7507100725316962,7.7965536156944735
1998,midterm,D,31399829,31920586,63320415,0.49588792177056956,0.5041120782294304,-0.8224156458860821,0.7507100725316962,-1.5731257184177783,-0.8224156458860821,-1.5731257184177783
2000,presidential,D,46411560,46750176,93161736,0.4981826444281803,0.5018173555718197,-0.36347111436394464,-0.8224156458860821,0.45894453152213743,-0.36347111436394464,0.45894453152213743
2002,midterm,R,33617116,37217239,70834355,0.47458773359339546,0.5254122664066045,-5.082453281320909,-0.36347111436394464,-4.718982166956964,5.082453281320909,4.718982166956964
2004,presidential,R,52745203,55723203,108468406,0.48627250039979386,0.5137274996002061,-2.745499920041228,-5.082453281320909,2.336953361279681,2.745499920041228,-2.336953361279681
2006,midterm,R,41792336,35482497,77274833,0.5408272574332189,0.4591727425667811,8.165451486643782,-2.745499920041228,10.91095140668501,-8.165451486643782,-10.91095140668501
2008,presidential,R,64884742,51952377,116837119,0.5553435633756084,0.4446564366243916,11.068712675121684,8.165451486643782,2.9032611884779023,-11.068712675121684,-2.9032611884779023
2010,midterm,D,38940558,44594059,83534617,0.4661607295093003,0.5338392704906997,-6.767854098139936,11.068712675121684,-17.83656677326162,-6.767854098139936,-17.83656677326162
2012,presidential,D,59194640,57977915,117172555,0.5051920221420452,0.4948079778579549,1.0384044284090288,-6.767854098139936,7.806258526548965,1.0384044284090288,7.806258526548965
2014,midterm,D,35273163,39926535,75199698,0.4690599023416291,0.5309400976583709,-6.188019531674183,1.0384044284090288,-7.226423960083212,-6.188019531674183,-7.226423960083212
2016,presidential,D,61417454,62772633,124190087,0.4945439324798927,0.5054560675201073,-1.09121350402146,-6.188019531674183,5.096806027652723,-1.09121350402146,5.096806027652723
2018,midterm,R,60340167,50752541,111092708,0.5431514640906944,0.4568485359093056,8.63029281813888,-1.09121350402146,9.72150632216034,-8.63029281813888,-9.72150632216034
2020,presidential,R,77336102,72671813,150007915,0.5155468096466777,0.48445319035332235,3.10936192933553,8.63029281813888,-5.52093088880335,-3.10936192933553,5.52093088880335
2022,midterm,D,51295459,54227994,105523453,0.48610481880269785,0.5138951811973022,-2.7790362394604307,3.10936192933553,-5.888398168795961,-2.7790362394604307,-5.888398168795961
2024,presidential,D,70713750,74410630,145124380,0.4872630635872484,0.5127369364127516,-2.547387282550323,-2.7790362394604307,0.23164895691010745,-2.547387282550323,0.23164895691010745
