cycle,state,poll_race_id,election_date,source_candidate_rows,source_questions,earliest_poll_end_date,latest_poll_end_date,race_id,race_id_mapping_method,race_key
2018,AZ,96,2018-11-06,217,102,2017-10-31,2018-11-05,2018_AZ,unique_cycle_state,2018_AZ_96_20181106
2018,CA,97,2018-11-06,44,22,2018-04-18,2018-11-04,2018_CA,unique_cycle_state,2018_CA_97_20181106
2018,CT,98,2018-11-06,12,6,2018-08-21,2018-11-01,2018_CT,unique_cycle_state,2018_CT_98_20181106
2018,DE,99,2018-11-06,10,3,2018-07-29,2018-09-17,2018_DE,unique_cycle_state,2018_DE_99_20181106
2018,FL,100,2018-11-06,208,104,2017-11-24,2018-11-05,2018_FL,unique_cycle_state,2018_FL_100_20181106
2018,IN,102,2018-11-06,101,42,2018-05-15,2018-11-05,2018_IN,unique_cycle_state,2018_IN_102_20181106
2018,MA,105,2018-11-06,36,13,2017-06-22,2018-10-28,2018_MA,unique_cycle_state,2018_MA_105_20181106
2018,MD,104,2018-11-06,7,2,2018-09-16,2018-10-06,2018_MD,unique_cycle_state,2018_MD_104_20181106
2018,ME,103,2018-11-06,17,6,2018-08-06,2018-10-29,2018_ME,unique_cycle_state,2018_ME_103_20181106
2018,MI,106,2018-11-06,79,35,2018-01-19,2018-11-05,2018_MI,unique_cycle_state,2018_MI_106_20181106
2018,MN,107,2018-11-06,42,15,2018-06-25,2018-11-04,2018_MN_REGULAR,explicit_regular_special_or_runoff_override,2018_MN_107_20181106
2018,MN,129,2018-11-06,38,14,2018-06-25,2018-11-04,2018_MN_SPECIAL,explicit_regular_special_or_runoff_override,2018_MN_129_20181106
2018,MO,109,2018-11-06,192,72,2017-07-08,2018-11-05,2018_MO,unique_cycle_state,2018_MO_109_20181106
2018,MS,108,2018-11-06,24,8,2018-04-11,2018-11-04,2018_MS_REGULAR,explicit_regular_special_or_runoff_override,2018_MS_108_20181106
2018,MS,130,2018-11-06,41,12,2018-03-29,2018-11-04,2018_MS_SPECIAL,explicit_regular_special_or_runoff_override,2018_MS_130_20181106
2018,MS,6209,2018-11-27,24,12,2018-04-11,2018-11-25,2018_MS_SPECIAL,explicit_regular_special_or_runoff_override,2018_MS_6209_20181127
2018,MT,110,2018-11-06,66,30,2018-06-13,2018-11-05,2018_MT,unique_cycle_state,2018_MT_110_20181106
2018,ND,116,2018-11-06,36,18,2018-02-20,2018-10-30,2018_ND,unique_cycle_state,2018_ND_116_20181106
2018,NE,111,2018-11-06,6,3,2017-11-12,2018-10-27,2018_NE,unique_cycle_state,2018_NE_111_20181106
2018,NJ,113,2018-11-06,59,25,2018-03-12,2018-11-04,2018_NJ,unique_cycle_state,2018_NJ_113_20181106
