snapshot_id,race_key,cycle,state,race_id,poll_race_id,election_date,snapshot_date,days_before_election,source_candidate_rows,source_questions,candidate_questions,eligible_questions,excluded_questions,has_eligible_polling,earliest_eligible_end_date,latest_eligible_end_date,mean_dem_margin_unweighted,median_dem_margin_unweighted,mean_poll_age_days,median_poll_age_days,internal_questions,partisan_questions,tracking_questions
2018_AZ_96_20181106_D120,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-07-09,120,217,102,102,16,86,True,2017-10-31,2018-07-02,5.450625,5.5,55.75,17.0,0,0,0
2018_AZ_96_20181106_D090,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-08-08,90,217,102,102,17,85,True,2017-10-31,2018-07-25,5.36529411764706,5.0,81.52941176470588,47.0,0,0,0
2018_AZ_96_20181106_D060,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-09-07,60,217,102,102,19,83,True,2017-10-31,2018-09-07,4.584736842105262,5.0,99.84210526315789,67.0,0,0,0
2018_AZ_96_20181106_D030,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-10-07,30,217,102,102,39,63,True,2017-10-31,2018-10-05,3.80025641025641,4.0,71.05128205128206,26.0,0,0,0
2018_AZ_96_20181106_D014,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-10-23,14,217,102,102,46,56,True,2017-10-31,2018-10-23,3.298043478260869,4.0,74.80434782608695,39.0,2,0,0
2018_AZ_96_20181106_D007,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-10-30,7,217,102,102,60,42,True,2017-10-31,2018-10-30,2.9951666666666665,3.0,63.21666666666667,39.5,2,0,1
2018_AZ_96_20181106_D000,2018_AZ_96_20181106,2018,AZ,2018_AZ,96,2018-11-06,2018-11-06,0,217,102,102,74,28,True,2017-10-31,2018-11-05,2.0555405405405405,3.0,57.62162162162162,35.0,2,0,9
2018_CA_97_20181106_D120,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-07-09,120,44,22,22,0,22,False,,,,,,,0,0,0
2018_CA_97_20181106_D090,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-08-08,90,44,22,22,0,22,False,,,,,,,0,0,0
2018_CA_97_20181106_D060,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-09-07,60,44,22,22,0,22,False,,,,,,,0,0,0
2018_CA_97_20181106_D030,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-10-07,30,44,22,22,0,22,False,,,,,,,0,0,0
2018_CA_97_20181106_D014,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-10-23,14,44,22,22,0,22,False,,,,,,,0,0,0
2018_CA_97_20181106_D007,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-10-30,7,44,22,22,0,22,False,,,,,,,0,0,0
2018_CA_97_20181106_D000,2018_CA_97_20181106,2018,CA,2018_CA,97,2018-11-06,2018-11-06,0,44,22,22,0,22,False,,,,,,,0,0,0
2018_CT_98_20181106_D120,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-07-09,120,12,6,6,0,6,False,,,,,,,0,0,0
2018_CT_98_20181106_D090,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-08-08,90,12,6,6,0,6,False,,,,,,,0,0,0
2018_CT_98_20181106_D060,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-09-07,60,12,6,6,2,4,True,2018-08-21,2018-08-27,22.5,22.5,14.0,14.0,0,0,0
2018_CT_98_20181106_D030,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-10-07,30,12,6,6,2,4,True,2018-08-21,2018-08-27,22.5,22.5,44.0,44.0,0,0,0
2018_CT_98_20181106_D014,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-10-23,14,12,6,6,3,3,True,2018-08-21,2018-10-08,20.0,17.0,45.0,57.0,0,0,0
2018_CT_98_20181106_D007,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-10-30,7,12,6,6,5,1,True,2018-08-21,2018-10-29,19.0,17.0,31.8,22.0,0,0,0
2018_CT_98_20181106_D000,2018_CT_98_20181106,2018,CT,2018_CT,98,2018-11-06,2018-11-06,0,12,6,6,6,0,True,2018-08-21,2018-11-01,19.666666666666668,18.5,33.166666666666664,19.0,0,0,0
2018_DE_99_20181106_D120,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-07-09,120,10,3,3,0,3,False,,,,,,,0,0,0
2018_DE_99_20181106_D090,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-08-08,90,10,3,3,1,2,True,2018-07-29,2018-07-29,8.0,8.0,10.0,10.0,0,0,0
2018_DE_99_20181106_D060,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-09-07,60,10,3,3,1,2,True,2018-07-29,2018-07-29,8.0,8.0,40.0,40.0,0,0,0
2018_DE_99_20181106_D030,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-10-07,30,10,3,3,3,0,True,2018-07-29,2018-09-17,27.666666666666668,37.0,36.666666666666664,20.0,0,0,0
2018_DE_99_20181106_D014,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-10-23,14,10,3,3,3,0,True,2018-07-29,2018-09-17,27.666666666666668,37.0,52.666666666666664,36.0,0,0,0
2018_DE_99_20181106_D007,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-10-30,7,10,3,3,3,0,True,2018-07-29,2018-09-17,27.666666666666668,37.0,59.666666666666664,43.0,0,0,0
2018_DE_99_20181106_D000,2018_DE_99_20181106,2018,DE,2018_DE,99,2018-11-06,2018-11-06,0,10,3,3,3,0,True,2018-07-29,2018-09-17,27.666666666666668,37.0,66.66666666666667,50.0,0,0,0
2018_FL_100_20181106_D120,2018_FL_100_20181106,2018,FL,2018_FL,100,2018-11-06,2018-07-09,120,208,104,104,31,73,True,2017-11-24,2018-07-02,-0.7396774193548387,-1.0,82.64516129032258,63.0,0,0,0
