race_id,cycle,election_date,state,state_name,senate_class,seat_id,election_type,special_election,dem_candidate,gop_candidate,dem_votes,gop_votes,other_votes,total_votes,dem_two_party_share,gop_two_party_share,actual_margin_dem,winner_party,presidential_result_year,presidential_dem_candidate,presidential_gop_candidate,presidential_dem_two_party_share,presidential_gop_two_party_share,presidential_margin_dem,presidential_winner_party,senate_overperformance_dem,senate_overperformance_abs,senate_outperformed_presidential_baseline,model_incumbent_name,model_incumbent_party,model_incumbent_running,model_open_seat,incumbency_source,lineage_appointed_incumbent,lineage_candidate_match_method,incumbency_override_applied,incumbency_audit_flag,major_party_contested,backtest_scorable,backtest_exclusion_reason,presidential_baseline_available,historical_baseline_scorable,baseline_method,lookahead_protection,baseline_validation_status,source,source_url,source_status,source_dataset,source_doi,source_file,notes,incumbent_name,incumbent_party,incumbent_running,open_seat,dem_vote_share,gop_vote_share,manual_review,class_assignment_method,class_assignment_notes,incumbency_reference_date,lineage_officeholder_count,lineage_incumbent_name,lineage_incumbent_party,lineage_incumbent_bioguide_id,lineage_incumbent_term_start,lineage_incumbent_term_end,lineage_incumbent_term_how,lineage_officeholder_status,lineage_dem_candidate_match_score,lineage_gop_candidate_match_score,lineage_incumbent_candidate_party,lineage_incumbent_running,lineage_open_seat,incumbency_override_status,incumbency_override_notes,existing_incumbency_name_available,existing_incumbency_party_available,existing_incumbency_running_available,existing_open_seat_available,audit_existing_name_match_score,audit_incumbent_name_agrees,audit_incumbent_party_agrees,audit_incumbent_running_agrees,audit_open_seat_agrees
2012_AZ,2012,2012-11-06,AZ,Arizona,1,AZ_CLASS_1,regular,False,RICHARD CARMONA,JEFF FLAKE,1036542,1104457,102423,2243422,48.41394134233598,51.58605865766402,-3.1721173153280375,R,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",45.68609928038368,54.31390071961632,-8.627801439232641,R,5.455684123904604,5.455684123904604,True,Jon Kyl,R,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,46.20361216035146,49.23090706964628,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Jon Kyl,R,K000352,2007-01-04,2013-01-03,,single_match,0.1,0.1941,,False,True,,,False,False,False,False,,,,,
2012_CA,2012,2012-11-06,CA,California,1,CA_CLASS_1,regular,False,DIANNE FEINSTEIN,ELIZABETH EMKEN,7864624,4713887,0,12578511,62.52428447214459,37.47571552785541,25.048568944289187,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",62.27844959158541,37.72155040841459,24.556899183170813,D,0.49166976111837357,0.49166976111837357,True,Dianne Feinstein,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,62.52428447214459,37.47571552785541,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Dianne Feinstein,D,F000062,2007-01-04,2013-01-03,,single_match,1.0,0.1065,D,True,False,,,False,False,False,False,,,,,
2012_CT,2012,2012-11-06,CT,Connecticut,1,CT_CLASS_1,regular,False,CHRISTOPHER S. MURPHY,LINDA E. MCMAHON,828761,651089,31914,1511764,56.00304084873467,43.99695915126533,12.00608169746934,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",61.31833824975418,38.68166175024582,22.63667649950835,D,-10.630594802039012,10.630594802039012,False,Joseph I. Lieberman,D,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,54.82079213422201,43.06816407852019,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Joseph I. Lieberman,D,L000304,2007-01-04,2013-01-03,,single_match,0.1737,0.2,,False,True,,,False,False,False,False,,,,,
2012_DE,2012,2012-11-06,DE,Delaware,1,DE_CLASS_1,regular,False,THOMAS R. CARPER,KEVIN WADE,265415,115700,18491,399606,69.64170919538722,30.358290804612786,39.28341839077444,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",62.63813864988856,37.36186135011144,25.27627729977712,D,14.007141090997322,14.007141090997322,True,Thomas R. Carper,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,66.41917288529201,28.95351921642818,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Thomas R. Carper,D,C000174,2007-01-04,2013-01-03,,single_match,1.0,0.088,D,True,False,,,False,False,False,False,,,,,
2012_FL,2012,2012-11-06,FL,Florida,1,FL_CLASS_1,regular,False,BILL NELSON,CONNIE MACK,4523451,3458267,208228,8189946,56.672648670373974,43.327351329626026,13.345297340747948,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",51.419660030899294,48.580339969100706,2.8393200617985883,D,10.50597727894936,10.50597727894936,True,Bill Nelson,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,55.231756106816825,42.225760707091354,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Bill Nelson,D,N000032,2007-01-04,2013-01-03,,single_match,1.0,0.1,D,True,False,,,False,False,False,False,,,,,
2012_HI,2012,2012-11-06,HI,Hawaii,1,HI_CLASS_1,regular,False,MAZIE K. HIRONO,LINDA LINGLE,269489,160994,6676,437159,62.6015429180711,37.3984570819289,25.203085836142193,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",72.99372587845542,27.006274121544585,45.98745175691083,D,-20.784365920768636,20.784365920768636,False,Daniel K. Akaka,D,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,61.64553400479002,36.82733284685892,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Daniel K. Akaka,D,A000069,2007-01-04,2013-01-03,,single_match,0.3257,0.1692,,False,True,,,False,False,False,False,,,,,
2012_IN,2012,2012-11-06,IN,Indiana,1,IN_CLASS_1,regular,False,JOE DONNELLY,RICHARD E. MOURDOCK,1281181,1133621,145300,2560102,53.0553229622967,46.9446770377033,6.110645924593399,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",50.52195344537809,49.47804655462191,1.0439068907561762,D,5.066739033837223,5.066739033837223,True,Richard G. Lugar,R,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,50.044138866342045,44.28030601905705,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Richard G. Lugar,R,L000504,2007-01-04,2013-01-03,,single_match,0.0815,0.4567,,False,True,,,False,False,False,False,,,,,
2012_MA,2012,2012-11-06,MA,Massachusetts,1,MA_CLASS_1,regular,False,ELIZABETH A. WARREN,SCOTT P. BROWN,1696346,1458048,29802,3184196,53.77723898790069,46.22276101209931,7.554477975801376,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",63.19707821335295,36.80292178664705,26.394156426705905,D,-18.83967845090453,18.83967845090453,False,Scott P. Brown,R,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,53.27391906779608,45.79014608397222,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Scott P. Brown,R,B001268,2010-02-04,2013-01-03,,single_match,0.1774,1.0,R,True,False,,,False,False,False,False,,,,,
2012_MD,2012,2012-11-06,MD,Maryland,1,MD_CLASS_1,regular,False,BENJAMIN L. CARDIN,DANIEL JOHN BONGINO,1474028,693291,465915,2633234,68.01158481977042,31.988415180229584,36.02316963954084,D,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",62.93008729288553,37.06991270711447,25.860174585771063,D,10.162995053769777,10.162995053769777,True,Benjamin L. Cardin,D,True,False,audited_senate_seat_lineage,False,strong_name_match,False,False,True,True,,True,True,most_recent_completed_presidential_election,True,validated_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,55.97785840529174,26.32849948010697,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Benjamin L. Cardin,D,C000141,2007-01-04,2013-01-03,,single_match,1.0,0.1222,D,True,False,,,False,False,False,False,,,,,
2012_ME,2012,2012-11-06,ME,Maine,1,ME_CLASS_1,regular,False,CYNTHIA ANN DILL,"CHARLES E. SUMMERS, JR.",92900,215399,416421,724720,30.13308508947483,69.86691491052517,-39.733829821050335,R,2008,"OBAMA, BARACK H.","MCCAIN, JOHN",58.8295249834076,41.1704750165924,17.659049966815203,D,-57.39287978786554,57.39287978786554,False,Olympia J. Snowe,R,False,True,audited_senate_seat_lineage,False,no_confident_match,False,False,True,False,Independent winner; D-R margin does not represent race outcome,True,False,most_recent_completed_presidential_election,True,not_scorable,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,,,,,,12.818743790705376,29.72168561651396,False,regular_cycle,Assigned from the regular six-year Senate election cycle,2012-11-05,1,Olympia J. Snowe,R,S000663,2007-01-04,2013-01-03,,single_match,0.1774,0.1719,,False,True,,,False,False,False,False,,,,,
