race_id,cycle,state,election_type,special_election,senate_class,class_assignment_method,class_assignment_notes,seat_id
2012_AZ,2012,AZ,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,AZ_CLASS_1
2012_CA,2012,CA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,CA_CLASS_1
2012_CT,2012,CT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,CT_CLASS_1
2012_DE,2012,DE,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,DE_CLASS_1
2012_FL,2012,FL,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,FL_CLASS_1
2012_HI,2012,HI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,HI_CLASS_1
2012_IN,2012,IN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,IN_CLASS_1
2012_MA,2012,MA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MA_CLASS_1
2012_MD,2012,MD,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MD_CLASS_1
2012_ME,2012,ME,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,ME_CLASS_1
2012_MI,2012,MI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MI_CLASS_1
2012_MN,2012,MN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MN_CLASS_1
2012_MO,2012,MO,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MO_CLASS_1
2012_MS,2012,MS,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MS_CLASS_1
2012_MT,2012,MT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MT_CLASS_1
2012_ND,2012,ND,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,ND_CLASS_1
2012_NE,2012,NE,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NE_CLASS_1
2012_NJ,2012,NJ,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NJ_CLASS_1
2012_NM,2012,NM,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NM_CLASS_1
2012_NV,2012,NV,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NV_CLASS_1
2012_NY,2012,NY,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NY_CLASS_1
2012_OH,2012,OH,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,OH_CLASS_1
2012_PA,2012,PA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,PA_CLASS_1
2012_RI,2012,RI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,RI_CLASS_1
2012_TN,2012,TN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,TN_CLASS_1
2012_TX,2012,TX,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,TX_CLASS_1
2012_UT,2012,UT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,UT_CLASS_1
2012_VA,2012,VA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,VA_CLASS_1
2012_VT,2012,VT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,VT_CLASS_1
2012_WA,2012,WA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WA_CLASS_1
2012_WI,2012,WI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WI_CLASS_1
2012_WV,2012,WV,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WV_CLASS_1
2012_WY,2012,WY,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WY_CLASS_1
2014_AK,2014,AK,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,AK_CLASS_2
2014_AL,2014,AL,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,AL_CLASS_2
2014_AR,2014,AR,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,AR_CLASS_2
2014_CO,2014,CO,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,CO_CLASS_2
2014_DE,2014,DE,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,DE_CLASS_2
2014_GA,2014,GA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,GA_CLASS_2
2014_HI,2014,HI,special,True,1,special_election_override,Special election for the Class 1 seat,HI_CLASS_1
2014_IA,2014,IA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,IA_CLASS_2
2014_ID,2014,ID,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,ID_CLASS_2
2014_IL,2014,IL,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,IL_CLASS_2
2014_KS,2014,KS,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,KS_CLASS_2
2014_KY,2014,KY,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,KY_CLASS_2
2014_LA,2014,LA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,LA_CLASS_2
2014_MA,2014,MA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MA_CLASS_2
2014_ME,2014,ME,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,ME_CLASS_2
2014_MI,2014,MI,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MI_CLASS_2
2014_MN,2014,MN,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MN_CLASS_2
2014_MS,2014,MS,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MS_CLASS_2
2014_MT,2014,MT,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MT_CLASS_2
2014_NC,2014,NC,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NC_CLASS_2
2014_NE,2014,NE,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NE_CLASS_2
2014_NH,2014,NH,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NH_CLASS_2
2014_NJ,2014,NJ,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NJ_CLASS_2
2014_NM,2014,NM,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NM_CLASS_2
