race_id,cycle,election_date,state,state_name,senate_class,election_type,special_election,dem_candidate,gop_candidate,incumbent_name,incumbent_party,incumbent_running,open_seat,dem_votes,gop_votes,other_votes,total_votes,dem_vote_share,gop_vote_share,dem_two_party_share,gop_two_party_share,actual_margin_dem,winner_party,major_party_contested,backtest_scorable,backtest_exclusion_reason,manual_review,source,source_url,source_status,notes
2012_AZ,2012,2012-11-06,AZ,Arizona,,regular,False,RICHARD CARMONA,JEFF FLAKE,,,,,1036542,1104457,102423,2243422,46.20361216035146,49.23090706964628,48.41394134233598,51.58605865766402,-3.1721173153280375,R,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_CA,2012,2012-11-06,CA,California,,regular,False,DIANNE FEINSTEIN,ELIZABETH EMKEN,,,,,7864624,4713887,0,12578511,62.52428447214459,37.47571552785541,62.52428447214459,37.47571552785541,25.048568944289187,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_CT,2012,2012-11-06,CT,Connecticut,,regular,False,CHRISTOPHER S. MURPHY,LINDA E. MCMAHON,,,,,828761,651089,31914,1511764,54.82079213422201,43.06816407852019,56.00304084873467,43.99695915126533,12.006081697469341,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_DE,2012,2012-11-06,DE,Delaware,,regular,False,THOMAS R. CARPER,KEVIN WADE,,,,,265415,115700,18491,399606,66.41917288529201,28.95351921642818,69.64170919538722,30.358290804612782,39.28341839077444,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_FL,2012,2012-11-06,FL,Florida,,regular,False,BILL NELSON,CONNIE MACK,,,,,4523451,3458267,208228,8189946,55.231756106816825,42.225760707091354,56.672648670373974,43.327351329626026,13.345297340747948,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_HI,2012,2012-11-06,HI,Hawaii,,regular,False,MAZIE K. HIRONO,LINDA LINGLE,,,,,269489,160994,6676,437159,61.64553400479002,36.82733284685892,62.6015429180711,37.3984570819289,25.203085836142193,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_IN,2012,2012-11-06,IN,Indiana,,regular,False,JOE DONNELLY,RICHARD E. MOURDOCK,,,,,1281181,1133621,145300,2560102,50.044138866342045,44.28030601905705,53.0553229622967,46.9446770377033,6.110645924593399,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_MA,2012,2012-11-06,MA,Massachusetts,,regular,False,ELIZABETH A. WARREN,SCOTT P. BROWN,,,,,1696346,1458048,29802,3184196,53.27391906779608,45.79014608397222,53.77723898790069,46.22276101209931,7.554477975801376,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_MD,2012,2012-11-06,MD,Maryland,,regular,False,BENJAMIN L. CARDIN,DANIEL JOHN BONGINO,,,,,1474028,693291,465915,2633234,55.97785840529174,26.32849948010697,68.01158481977042,31.988415180229584,36.02316963954084,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_ME,2012,2012-11-06,ME,Maine,,regular,False,CYNTHIA ANN DILL,"CHARLES E. SUMMERS, JR.",,,,,92900,215399,416421,724720,12.818743790705376,29.721685616513962,30.13308508947483,69.86691491052517,-39.733829821050335,R,True,False,Independent winner; D-R margin does not represent race outcome,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_MI,2012,2012-11-06,MI,Michigan,,regular,False,DEBBIE STABENOW,PETE HOEKSTRA,,,,,2735826,1767386,149706,4652918,58.79807037218365,37.98446480251747,60.752769356628114,39.247230643371886,21.50553871325623,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_MN,2012,2012-11-06,MN,Minnesota,,regular,False,AMY KLOBUCHAR,KURT BILLS,,,,,1854595,867974,120638,2843207,65.22898262419866,30.52799180643548,68.11930202687242,31.880697973127585,36.23860405374484,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
2012_MO,2012,2012-11-06,MO,Missouri,,regular,False,CLAIRE MCCASKILL,W. TODD AKIN,,,,,1494125,1066159,165509,2725793,54.81432375826044,39.113718466515984,58.357783745865696,41.642216254134304,16.71556749173139,D,True,True,,False,MIT Election Data and Science Lab,1976-2024-senate-state.csv,official,
