source_name,source_dataset,source_file,source_row_number,source_row_sha256,poll_id,question_id,race_id,candidate_id,cycle,pollster_id,pollster_rating_id,state_raw,state,office_type,seat_number,seat_name,stage,start_date,end_date,election_date,created_at,as_of_date,field_period_days,days_before_election,pollster,sponsors,display_name,pollster_name,poll_url,poll_source,population,population_full,methodology,notes,sample_size,numeric_grade,pollscore,transparency_score,candidate_name,answer,party_raw,party,pct,is_democratic,is_republican,is_major_party,is_tracking,is_internal,is_partisan,is_hypothetical,is_nationwide_batch,is_ranked_choice_reallocated,ranked_choice_round,sponsor_candidate,sponsor_candidate_party_raw,sponsor_candidate_party,endorsed_candidate,endorsed_candidate_party_raw,endorsed_candidate_party,has_valid_identifiers,has_valid_dates,has_valid_state,has_valid_percentage,field_period_is_nonnegative,poll_ends_by_election_day,is_ranked_choice_row,is_standard_general_election,race_key,question_key,question_candidate_rows,question_unique_candidates,question_major_party_rows,question_pct_sum,question_has_both_major_parties,question_pct_sum_near_100,source_sponsor_ids,source_pollster_rating_name,source_sponsor_candidate_id,source_endorsed_candidate_id,source_endorsed_candidate_name,source_subpopulation,source_url_article,source_url_topline,source_url_crosstab,validation_invalid_identifiers,validation_invalid_dates,validation_invalid_state,validation_invalid_percentage,validation_negative_field_period,validation_duplicate_question_candidate_key,validation_exact_duplicate_row,validation_missing_election_date,validation_poll_after_election_day
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9264,eca5405714b9749b125b0a27aabe79b39e763d89da5ab027f6f9d6a59ae822cf,73319,137448,96,12409,2018,1368,284,Arizona,AZ,U.S. Senate,0,Class I,general,2017-10-28,2017-10-31,2018-11-06,2020-11-24,2017-10-31,3,371,Revily,,Revily,,https://web.archive.org/web/20171107021906/https://structurecms-staging-psyclone.netdna-ssl.com/client_assets/kelliward/media/attachments/59fb/275a/6970/2d1b/c8cd/0300/59fb275a69702d1bc8cd0300.pdf?1509631834,538,lv,lv,IVR/Online Opt-In Panel,,850.0,1.4,0.1,,Kyrsten Sinema,Sinema,DEM,D,33.26,True,False,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,73319-137448,2,2,2,62.51,True,False,,Wick,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9265,538e861f6468a9cbe5f3a8605cfd28204028330ac8fb60188ee10454723144a0,73319,137448,96,12410,2018,1368,284,Arizona,AZ,U.S. Senate,0,Class I,general,2017-10-28,2017-10-31,2018-11-06,2020-11-24,2017-10-31,3,371,Revily,,Revily,,https://web.archive.org/web/20171107021906/https://structurecms-staging-psyclone.netdna-ssl.com/client_assets/kelliward/media/attachments/59fb/275a/6970/2d1b/c8cd/0300/59fb275a69702d1bc8cd0300.pdf?1509631834,538,lv,lv,IVR/Online Opt-In Panel,,850.0,1.4,0.1,,Martha McSally,McSally,REP,R,29.25,False,True,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,73319-137448,2,2,2,62.51,True,False,,Wick,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9260,cb85f80dcc5080f3de6d23f1532bd94101f19addd88c62499dda60daad4a2915,53710,86193,96,12409,2018,1293,235,Arizona,AZ,U.S. Senate,0,Class I,general,2017-11-09,2017-11-09,2018-11-06,2018-08-22,2017-11-09,0,362,OH Predictive Insights / MBQF,,OH Predictive Insights,,http://createsend.com/t/i-2DEC10E907A50F722540EF23F30FEDED,538,lv,lv,IVR,,600.0,2.4,-0.4,,Kyrsten Sinema,Sinema,DEM,D,46.0,True,False,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,53710-86193,2,2,2,91.0,True,True,,Noble Predictive Insights,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9261,b0035d8628e908f466ceba7653565420470fb013907d5b02f6aa6e97d62ae9a2,53710,86193,96,12410,2018,1293,235,Arizona,AZ,U.S. Senate,0,Class I,general,2017-11-09,2017-11-09,2018-11-06,2018-08-22,2017-11-09,0,362,OH Predictive Insights / MBQF,,OH Predictive Insights,,http://createsend.com/t/i-2DEC10E907A50F722540EF23F30FEDED,538,lv,lv,IVR,,600.0,2.4,-0.4,,Martha McSally,McSally,REP,R,45.0,False,True,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,53710-86193,2,2,2,91.0,True,True,,Noble Predictive Insights,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9262,7581da3dc98ff2d572fab01b13b503e246bd9c698efd90cf8387c50fb12ccdd6,53710,86194,96,12409,2018,1293,235,Arizona,AZ,U.S. Senate,0,Class I,general,2017-11-09,2017-11-09,2018-11-06,2018-08-22,2017-11-09,0,362,OH Predictive Insights / MBQF,,OH Predictive Insights,,http://createsend.com/t/i-2DEC10E907A50F722540EF23F30FEDED,538,lv,lv,IVR,,600.0,2.4,-0.4,,Kyrsten Sinema,Sinema,DEM,D,46.0,True,False,True,,,,True,False,False,,,,,,,,True,True,True,True,True,True,False,False,2018-AZ-96,53710-86194,2,2,2,89.0,True,False,,Noble Predictive Insights,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9263,dafd24f1ef67a2107562bcd8979da87288fee1cd3427595d9bcfe0d6504214a1,53710,86194,96,12411,2018,1293,235,Arizona,AZ,U.S. Senate,0,Class I,general,2017-11-09,2017-11-09,2018-11-06,2018-08-22,2017-11-09,0,362,OH Predictive Insights / MBQF,,OH Predictive Insights,,http://createsend.com/t/i-2DEC10E907A50F722540EF23F30FEDED,538,lv,lv,IVR,,600.0,2.4,-0.4,,Kelli Ward,Ward,REP,R,43.0,False,True,True,,,,True,False,False,,,,,,,,True,True,True,True,True,True,False,False,2018-AZ-96,53710-86194,2,2,2,89.0,True,False,,Noble Predictive Insights,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9184,6f68254c4f42fa208e1767bddcb5aa207e86bb84f3ffcbf054e89fec628666dd,53709,86192,96,12409,2018,383,263,Arizona,AZ,U.S. Senate,0,Class I,general,2018-03-15,2018-03-16,2018-11-06,2018-08-22,2018-03-16,1,235,PPP,Protect Our Care,Public Policy Polling,,http://www.protectourcare.org/wp-content/uploads/2018/03/PPP-Poll-AZ-ACA-Memo-and-Results-March-21.pdf,538,v,v,,,547.0,1.4,0.0,,Kyrsten Sinema,Sinema,DEM,D,46.0,True,False,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,53709-86192,2,2,2,87.0,True,False,946,Public Policy Polling,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9185,eadb70f27767c1bedccd94ff611724b1ea85d4d3ae426a762a370410b5afc5db,53709,86192,96,12410,2018,383,263,Arizona,AZ,U.S. Senate,0,Class I,general,2018-03-15,2018-03-16,2018-11-06,2018-08-22,2018-03-16,1,235,PPP,Protect Our Care,Public Policy Polling,,http://www.protectourcare.org/wp-content/uploads/2018/03/PPP-Poll-AZ-ACA-Memo-and-Results-March-21.pdf,538,v,v,,,547.0,1.4,0.0,,Martha McSally,McSally,REP,R,41.0,False,True,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,53709-86192,2,2,2,87.0,True,False,946,Public Policy Polling,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9148,96746a483fe05e08b739c4fdb127d8fb61ebb01ef800ceb6f405d519340b6c70,53708,86189,96,12409,2018,1293,235,Arizona,AZ,U.S. Senate,0,Class I,general,2018-04-10,2018-04-11,2018-11-06,2018-08-22,2018-04-11,1,209,OH Predictive Insights / MBQF,KNXV-TV,OH Predictive Insights,,http://createsend.com/t/i-E1269679105F7FA92540EF23F30FEDED,538,lv,lv,,,600.0,2.4,-0.4,,Kyrsten Sinema,Sinema,DEM,D,48.0,True,False,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,53708-86189,2,2,2,90.0,True,True,1081,Noble Predictive Insights,,,,,,,,False,False,False,False,False,False,False,False,False
FiveThirtyEight,senate_polls_historical,senate_polls_historical.csv,9149,322df992d15995b63575e8de000293ef14b991d7a98ea8b8df91989e57b2f33d,53708,86189,96,12410,2018,1293,235,Arizona,AZ,U.S. Senate,0,Class I,general,2018-04-10,2018-04-11,2018-11-06,2018-08-22,2018-04-11,1,209,OH Predictive Insights / MBQF,KNXV-TV,OH Predictive Insights,,http://createsend.com/t/i-E1269679105F7FA92540EF23F30FEDED,538,lv,lv,,,600.0,2.4,-0.4,,Martha McSally,McSally,REP,R,42.0,False,True,True,,,,False,False,False,,,,,,,,True,True,True,True,True,True,False,True,2018-AZ-96,53708-86189,2,2,2,90.0,True,True,1081,Noble Predictive Insights,,,,,,,,False,False,False,False,False,False,False,False,False
