bioguide_id,lis_id,govtrack_id,fec_ids,display_name,first_name,middle_name,last_name,suffix,nickname,term_number,term_start,term_end,state,senate_class,party_raw,caucus_raw,aligned_party,term_how,term_end_type,state_rank,source_file,seat_id
B000201,,401200,,Edward Lewis Bob Bartlett,Edward,Lewis,Bartlett,,Bob,8,1959-01-07,1961-01-03,AK,2,Democrat,,D,,,,legislators-historical.json,AK_CLASS_2
B000201,,401200,,Edward Lewis Bob Bartlett,Edward,Lewis,Bartlett,,Bob,9,1961-01-03,1967-01-03,AK,2,Democrat,,D,,,,legislators-historical.json,AK_CLASS_2
B000201,,401200,,Edward Lewis Bob Bartlett,Edward,Lewis,Bartlett,,Bob,10,1967-01-10,1968-12-11,AK,2,Democrat,,D,,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,1,1968-12-24,1973-01-03,AK,2,Republican,,R,appointment,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,2,1973-01-03,1979-01-03,AK,2,Republican,,R,,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,3,1979-01-15,1985-01-03,AK,2,Republican,,R,,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,4,1985-01-03,1991-01-03,AK,2,Republican,,R,,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,5,1991-01-03,1997-01-03,AK,2,Republican,,R,,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,6,1997-01-07,2003-01-03,AK,2,Republican,,R,,,,legislators-historical.json,AK_CLASS_2
S000888,S090,300094,S2AK00010,Ted F. Stevens,Ted,F.,Stevens,,,7,2003-01-07,2009-01-03,AK,2,Republican,,R,,,,legislators-historical.json,AK_CLASS_2
B001265,S319,412326,S8AK00090,Mark Begich,Mark,,Begich,,,1,2009-01-06,2015-01-03,AK,2,Democrat,,D,,,junior,legislators-historical.json,AK_CLASS_2
S001198,S383,412665,S4AK00214,Dan Sullivan,Dan,,Sullivan,,,1,2015-01-06,2021-01-03,AK,2,Republican,,R,,,junior,legislators-current.json,AK_CLASS_2
S001198,S383,412665,S4AK00214,Dan Sullivan,Dan,,Sullivan,,,2,2021-01-03,2027-01-03,AK,2,Republican,,R,,,junior,legislators-current.json,AK_CLASS_2
G000508,,404853,,Ernest Gruening,Ernest,,Gruening,,,1,1959-01-07,1963-01-03,AK,3,Democrat,,D,,,,legislators-historical.json,AK_CLASS_3
G000508,,404853,,Ernest Gruening,Ernest,,Gruening,,,2,1963-01-09,1969-01-03,AK,3,Democrat,,D,,,,legislators-historical.json,AK_CLASS_3
G000388,,404738,,Maurice Robert Mike Gravel,Maurice,Robert,Gravel,,Mike,1,1969-01-03,1975-01-03,AK,3,Democrat,,D,,,,legislators-historical.json,AK_CLASS_3
G000388,,404738,,Maurice Robert Mike Gravel,Maurice,Robert,Gravel,,Mike,2,1975-01-14,1981-01-03,AK,3,Democrat,,D,,,,legislators-historical.json,AK_CLASS_3
M001085,S157,300150,S0AK00063,Frank H. Murkowski,Frank,H.,Murkowski,,,1,1981-01-05,1987-01-03,AK,3,Republican,,R,,,,legislators-historical.json,AK_CLASS_3
