race_id,senate_class,notes
2014_HI,1,Special election for the Class 1 seat
2014_OK_SPECIAL,3,Special election for the Class 3 seat
2014_SC_SPECIAL,3,Special election for the Class 3 seat
2018_MN_SPECIAL,2,Special election for the Class 2 seat
2018_MS_SPECIAL,2,Special election for the Class 2 seat
2020_AZ,3,Special election for the Class 3 seat
2020_GA_SPECIAL,3,Special election for the Class 3 seat
2022_CA_SPECIAL,3,Special election for the Class 3 seat
2022_OK_SPECIAL,2,Special election for the Class 2 seat
2024_CA_SPECIAL,1,Special election for the Class 1 seat
2024_NE_SPECIAL,2,Special election for the Class 2 seat
