commit,commit_date,path,rows,columns,cycles,minimum_end_date,maximum_end_date,unique_poll_ids,unique_question_ids,unique_states
c0bd050458f7e67bfc01c2d5d15f21c01cc73de2,2021-04-05,senate_polls.csv,4620,38,"2018,2020,2022",2016-11-17,2021-03-27,1461,1927,49
842ef68b55eec3d9b9561c899fcf90124a1142fb,2021-04-02,senate_polls.csv,4620,38,"2018,2020,2022",2016-11-17,2021-03-27,1461,1927,49
e582a261fd7d918863b2f3e27309ed686cf57b06,2021-04-02,senate_polls.csv,4618,38,"2018,2020,2022",2016-11-17,2021-03-19,1460,1926,49
09fecc5d0a7e56fee12098cefe67e73181289ac2,2021-03-23,senate_polls.csv,4616,38,"2018,2020,2022",2016-11-17,2021-03-19,1459,1925,49
35f9b01e657fe867f6faf16accd1f8aeba0e7326,2021-03-12,senate_polls.csv,4604,38,"2018,2020,2022",2016-11-17,2021-03-09,1458,1919,49
a94a40b6793bd3bb16818214a8343420015508bf,2021-03-11,senate_polls.csv,4598,38,"2018,2020,2022",2016-11-17,2021-03-06,1457,1916,49
71d3a036682e0b97936f66ee7920f71cc84f27da,2021-03-10,senate_polls.csv,4596,38,"2018,2020,2022",2016-11-17,2021-02-22,1456,1915,49
03a524533731dbca3faa9e97cb89824fae68ceb0,2021-03-04,senate_polls.csv,4596,38,"2018,2020,2022",2016-11-17,2021-02-22,1456,1915,49
577bf5ee79af2ff6a5db4ab12083f70d9c424682,2021-02-03,senate_polls.csv,4584,38,"2018,2020",2016-11-17,2021-01-04,1453,1909,49
59f783fe535b51ba303c5b6a59c3db3cea42c764,2021-01-05,senate_polls.csv,4580,38,"2018,2020",2016-11-17,2021-01-04,1452,1907,49
5c4ceda8fa71d7370c7f2adfb90b9c95ae4b3e95,2021-01-04,senate_polls.csv,4568,38,"2018,2020",2016-11-17,2021-01-03,1449,1901,49
f453f459ee49694fbc4da1543bf1daff2f3e6a53,2021-01-04,senate_polls.csv,4556,38,"2018,2020",2016-11-17,2021-01-01,1447,1895,49
6a6a62c4ba6f4c2f82781a43740400eb08016406,2021-01-02,senate_polls.csv,4552,38,"2018,2020",2016-11-17,2020-12-30,1446,1893,49
0e8c398e241111a348862409125b55256b0ca796,2021-01-01,senate_polls.csv,4548,38,"2018,2020",2016-11-17,2020-12-29,1445,1891,49
cb9a964b4015ac48710bc6a1ef3791ed14cd9bf3,2020-12-30,senate_polls.csv,4544,38,"2018,2020",2016-11-17,2020-12-29,1444,1889,49
bbae38085d0d6577645c031fd7b4cafea9ebd8a0,2020-12-29,senate_polls.csv,4540,38,"2018,2020",2016-11-17,2020-12-27,1443,1887,49
9890be354bf3c0378ea92ddc84d02d1d767f1e7a,2020-12-24,senate_polls.csv,4536,38,"2018,2020",2016-11-17,2020-12-22,1442,1885,49
4ca89fe2cc18b4beda610e8e4613e2363ed9c1c1,2020-12-28,senate_polls.csv,4532,38,"2018,2020",2016-11-17,2020-12-22,1441,1883,49
922083ca171f072db5c98a45510bdc9bb74baf1c,2020-12-24,senate_polls.csv,4532,38,"2018,2020",2016-11-17,2020-12-22,1441,1883,49
84b8eeebce32633733dd6c4114de42445eef36fe,2020-12-23,senate_polls.csv,4528,38,"2018,2020",2016-11-17,2020-12-20,1440,1881,49
1331b0c96e6a88ce3000ee818345acd663016f46,2020-12-22,senate_polls.csv,4524,38,"2018,2020",2016-11-17,2020-12-20,1439,1879,49
9fcf2b88f68e1e4764cc37798926ac7027047d74,2020-12-21,senate_polls.csv,4520,38,"2018,2020",2016-11-17,2020-12-16,1438,1877,49
d92e9a81232f2f9d44c538e7e533af9d3949df55,2020-12-19,senate_polls.csv,4516,38,"2018,2020",2016-11-17,2020-12-16,1437,1875,49
c8d20944694e5845dcb97da4224596769901a406,2020-12-18,senate_polls.csv,4512,38,"2018,2020",2016-11-17,2020-12-16,1436,1873,49
d8d3d3d62ecf00420f3209ed10a894fdd60f8911,2020-12-18,senate_polls.csv,4512,38,"2018,2020",2016-11-17,2020-12-16,1436,1873,49
