state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,candidate_uncertainty_penalty,race_uncertainty_sd,simulated_dem_win_prob,avg_simulated_margin_dem,margin_p25_dem,margin_p50_dem,margin_p75_dem,tipping_count,tipping_share_of_control_sims
GA,Jon Ossoff,Mike Collins,D,Competitive,13.0,6.230507575757576,6.230507575757576,6.665108989393939,0.7706240000484731,1.1,1.0,1,0.0,5.5,0.832,6.697069698271128,2.062094758073881,6.6868475516406765,11.359126804147119,81,0.025241508258024306
MI,Democratic nominee TBD,Republican nominee TBD,D-open,Competitive,2.0,5.594500000000001,5.594500000000001,5.594500000000001,0.7344232884240007,1.05,1.0,1,0.0,5.5,0.7895,5.51050073957515,0.8804474523932024,5.493294285825831,10.14427844826415,128,0.039887815518853224
MN,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary,D-open,Likely,6.0,10.271,10.271,10.271,0.8661634723341114,0.9,0.85,1,0.0,5.5,0.9259166666666667,10.24839826718381,5.619074648394897,10.304699596480628,15.009317758749887,28,0.008725459644749143
NH,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary,D-open,Competitive,4.0,9.2945,9.2945,8.954593099999999,0.8359102664231112,1.05,1.0,1,0.0,5.5,0.90125,8.916834399138688,4.2466185055489545,8.929708153533529,13.643927285379231,32,0.009971953879713306
NC,Roy Cooper,Michael Whatley,R-open,Competitive,4.650001475369987,2.890000000000001,2.890000000000001,3.2252802810579837,0.6425420654566141,1.05,1.0,1,0.0,5.5,0.6789166666666666,3.26139865568167,-1.4787599971177279,3.2669308345755264,7.915608912829379,203,0.06325958242443129
ME,Democratic nominee TBD,Susan Collins,R,Competitive,,5.983999999999998,5.983999999999998,5.983999999999998,0.7480049215114083,1.15,1.0,1,1.5,7.75,0.7471666666666666,5.84335664619008,-0.060756037533875595,5.993439529635278,11.724362376316437,143,0.044562168899968835
TX,James Talarico,Ken Paxton,R,Likely,0.8212822878131864,-6.8355,-6.8355,-4.538465313656044,0.30466614818348514,0.75,0.85,1,0.0,5.5,0.25375,-4.595413575131865,-9.311618531439185,-4.538954957375989,0.09261789795552855,480,0.1495793081956996
OH,Sherrod Brown,Jon Husted,R-appointed,Competitive,1.6005938977342429,-5.8858749999999995,-5.8858749999999995,-3.834582522020817,0.3324340211830918,0.8,1.0,1,0.0,5.5,0.28358333333333335,-3.9671842516961866,-8.679906672196234,-3.982557658705292,0.7393186996375827,479,0.14926768463695855
FL,Angie Nixon / Alex Vindman primary,Ashley Moody,R-appointed,Likely,-2.717660329007412,-6.036999999999999,-6.036999999999999,-5.227081120277808,0.27880873196256817,0.7,0.85,1,0.0,5.5,0.22766666666666666,-5.19329148486787,-9.775094316629579,-5.22456184787814,-0.541935094389467,476,0.14833281396073544
IA,Josh Turek,Ashley Hinson,R-open,Likely,0.5110282175663774,-7.342827743902439,-7.342827743902439,-4.986670955461793,0.2876822645614803,0.75,0.85,1,0.0,5.5,0.23283333333333334,-5.008753075418124,-9.671725171463438,-4.956105431395626,-0.35006746291356117,498,0.15518853225303833
AK,Mary Peltola,Dan Sullivan,R,Likely,0.9652965334344752,-9.09432196969697,-9.09432196969697,-7.17796464485043,0.2133105508067013,0.65,0.85,1,0.0,6.25,0.17275,-7.189571390782951,-12.267101511223942,-7.210957485223986,-2.117271041238568,386,0.12028669367404175
CO,John Hickenlooper,Mark Baisley,D,Safe,9.0,18.1615,18.1615,18.1615,0.9645004715888147,0.85,0.65,1,0.0,5.5,0.9953333333333333,18.09079690206303,13.314229396891989,18.080380131277195,22.795456338610204,0,0.0
DE,Chris Coons,Republican nominee TBD,D,Safe,15.0,22.19475,22.19475,22.19475,0.9826286519067092,0.75,0.65,1,0.0,5.5,0.9991666666666666,22.03332032794636,17.359387156191076,21.967593176328656,26.741315263711154,0,0.0
IL,Juliana Stratton,Don Tracy,D-open,Safe,14.0,18.1925,18.1925,18.1925,0.9646929523590706,0.75,0.65,1,0.0,5.5,0.9956666666666667,18.225984172175426,13.597479059828036,18.206950299983554,22.96383157219,1,0.0003116235587410408
MA,Ed Markey,Republican nominee TBD,D,UltraSafe,27.999999999999996,33.185125,33.185125,32.852239974999996,0.9974602193305563,0.6,0.45,1,0.0,5.5,0.9999166666666667,32.774214105689595,28.090324048032244,32.74299502192659,37.512090480233155,0,0.0
NJ,Cory Booker,Justin Murphy,D,Safe,11.0,16.90725,16.90725,16.90725,0.9558093590521035,0.85,0.65,1,0.0,5.5,0.9930833333333333,16.93891269755032,12.247277148315941,16.920101628493864,21.638010678473965,1,0.0003116235587410408
NM,Ben Ray Lujan,Larry Marker,D,Safe,9.0,15.285652777777775,15.285652777777775,15.285652777777775,0.9415419552443961,0.9,0.65,1,0.0,5.5,0.9845,15.191017425192554,10.475715700084763,15.244164211446876,19.876982277951143,3,0.0009348706762231225
OR,Jeff Merkley,David Brock Smith,D,Safe,14.0,21.521375,21.521375,21.521375,0.980410492694533,0.8,0.65,1,0.0,5.5,0.9990833333333333,21.404914277689045,16.79037692001718,21.30988860778978,26.104459671366165,0,0.0
RI,Jack Reed,Republican nominee TBD,D,UltraSafe,22.0,22.451,22.451,22.451,0.9834063121400698,0.65,0.45,1,0.0,5.5,0.9996666666666667,22.443045583360945,17.73276454667822,22.40296291538315,27.199404024576147,0,0.0
VA,Mark Warner,Republican nominee TBD,D,Likely,7.0,14.756624999999998,14.756624999999998,14.756624999999998,0.9360173899757653,0.95,0.85,1,0.0,5.5,0.9825,14.699045333979539,9.888070591696744,14.7310062401796,19.442770637595466,5,0.0015581177937052041
AL,Everett Wess,Barry Moore,R-open,UltraSafe,-25.0,-25.796574695121947,-25.796574695121947,-25.796574695121947,0.009100477015769319,0.55,0.45,1,0.0,5.5,8.333333333333333e-05,-25.848458155510947,-30.54180420832288,-25.84853666208619,-21.142549676855364,1,0.0003116235587410408
AR,Hallie Schoffner,Tom Cotton,R,UltraSafe,-28.0,-29.2825,-29.2825,-29.2825,0.0048491499650553755,0.5,0.45,1,0.0,5.5,0.0,-29.356486347581754,-34.12819919296071,-29.286450434204845,-24.651004338068894,0,0.0
ID,David Roth,Jim Risch,R,UltraSafe,-30.0,-34.101749999999996,-34.101749999999996,-34.101749999999996,0.0020246773759719,0.45,0.45,1,0.0,5.5,0.0,-34.08263511307981,-38.70346298391492,-34.073006766714215,-29.43454602165658,0,0.0
KS,Democratic nominee TBD,Roger Marshall,R,Safe,-16.0,-15.083153846153843,-15.083153846153843,-15.083153846153843,0.06051778450089719,0.7,0.65,1,0.0,5.5,0.013666666666666667,-15.213426620266146,-19.877431073444463,-15.133712401549815,-10.47889479979209,68,0.021190401994390776
