formula_name,national_environment_margin_dem,state,dem_candidate,gop_candidate,fundamentals_margin_dem,model_margin_dem,simulated_dem_win_prob,avg_simulated_margin_dem,polling_margin_dem,pre_sim_dem_win_prob
Generic ballot only,7.1,AK,Mary Peltola,Dan Sullivan,-8.483,-8.483,0.1965833333333333,-8.482654668275057,-6.0,0.1761919342718849
Active formula: reduced double-count,7.618333333333332,AK,Mary Peltola,Dan Sullivan,-8.146083333333333,-8.146083333333333,0.20725,-8.145738001608402,-6.0,0.1852604134980428
Reduced double-count formula,7.618333333333332,AK,Mary Peltola,Dan Sullivan,-8.146083333333333,-8.146083333333333,0.20725,-8.145738001608402,-6.0,0.1852604134980428
Medium formula,8.683333333333334,AK,Mary Peltola,Dan Sullivan,-7.453833333333334,-7.453833333333334,0.2263333333333333,-7.453488001608395,-6.0,0.2050146210817331
Generic ballot only,7.1,FL,Angie Nixon / Alex Vindman primary,Ashley Moody,-4.909999999999999,-4.800487099376791,0.3053333333333333,-4.731860399591172,-7.0,0.2946687230409664
Active formula: reduced double-count,7.618333333333332,FL,Angie Nixon / Alex Vindman primary,Ashley Moody,-4.547166666666667,-4.4572467660434585,0.317,-4.388620066257842,-7.0,0.3078034530348826
Reduced double-count formula,7.618333333333332,FL,Angie Nixon / Alex Vindman primary,Ashley Moody,-4.547166666666667,-4.4572467660434585,0.317,-4.388620066257842,-7.0,0.3078034530348826
Medium formula,8.683333333333334,FL,Angie Nixon / Alex Vindman primary,Ashley Moody,-3.801666666666666,-3.752003766043458,0.346,-3.6833770662578305,-7.0,0.3357743647630282
Generic ballot only,7.1,GA,Jon Ossoff,Mike Collins / Derek Dooley runoff,6.365,5.82464105795778,0.7393333333333333,5.890607500968564,0.9068288682603954,0.7425043011339143
Active formula: reduced double-count,7.618333333333332,GA,Jon Ossoff,Mike Collins / Derek Dooley runoff,6.8315,6.24495755795778,0.7563333333333333,6.310924000968521,0.9068288682603954,0.7568426907646543
Reduced double-count formula,7.618333333333332,GA,Jon Ossoff,Mike Collins / Derek Dooley runoff,6.8315,6.24495755795778,0.7563333333333333,6.310924000968521,0.9068288682603954,0.7568426907646543
Medium formula,8.683333333333334,GA,Jon Ossoff,Mike Collins / Derek Dooley runoff,7.790000000000001,7.1085660579577805,0.7844166666666667,7.174532500968534,0.9068288682603954,0.7845643867587364
Generic ballot only,7.1,ME,Graham Platner,Susan Collins,9.691499999999998,9.592232623508044,0.8294166666666667,9.43571271212478,5.071866856076324,0.8511997845530138
Active formula: reduced double-count,7.618333333333332,ME,Graham Platner,Susan Collins,10.08025,9.959990123508046,0.83875,9.803470212124717,5.071866856076324,0.8594714933452053
Reduced double-count formula,7.618333333333332,ME,Graham Platner,Susan Collins,10.08025,9.959990123508046,0.83875,9.803470212124717,5.071866856076324,0.8594714933452053
Medium formula,8.683333333333334,ME,Graham Platner,Susan Collins,10.879,10.715607623508046,0.856,10.559087712124809,5.071866856076324,0.8752603145693937
Generic ballot only,7.1,NC,Roy Cooper,Michael Whatley,5.5889999999999995,5.666319,0.73075,5.738332956823866,-1.41439042173441,0.7369623869484692
Active formula: reduced double-count,7.618333333333332,NC,Roy Cooper,Michael Whatley,6.055499999999999,6.0866355,0.74525,6.158649456823888,-1.41439042173441,0.7515060947137193
Reduced double-count formula,7.618333333333332,NC,Roy Cooper,Michael Whatley,6.055499999999999,6.0866355,0.74525,6.158649456823888,-1.41439042173441,0.7515060947137193
Medium formula,8.683333333333334,NC,Roy Cooper,Michael Whatley,7.014,6.9502440000000005,0.7729166666666667,7.022257956823882,-1.41439042173441,0.7796590736998599
Generic ballot only,7.1,OH,Sherrod Brown,Jon Husted,-3.6235,-3.643831,0.33675,-3.817228103974798,-4.0,0.3401749393961709
Active formula: reduced double-count,7.618333333333332,OH,Sherrod Brown,Jon Husted,-3.23475,-3.2760735,0.3508333333333333,-3.449470603974816,-4.0,0.3553395970940985
Reduced double-count formula,7.618333333333332,OH,Sherrod Brown,Jon Husted,-3.23475,-3.2760735,0.3508333333333333,-3.449470603974816,-4.0,0.3553395970940985
Medium formula,8.683333333333334,OH,Sherrod Brown,Jon Husted,-2.435999999999999,-2.5204559999999994,0.3824166666666667,-2.6938531039748104,-4.0,0.3873975594275165
Generic ballot only,7.1,TX,James Talarico,Ken Paxton,-4.628,-4.215008,0.3241666666666666,-4.278363695684528,-5.0,0.3172659341068732
Active formula: reduced double-count,7.618333333333332,TX,James Talarico,Ken Paxton,-4.23925,-3.8472505,0.3374166666666666,-3.910606195684523,-5.0,0.3319230734301985
Reduced double-count formula,7.618333333333332,TX,James Talarico,Ken Paxton,-4.23925,-3.8472505,0.3374166666666666,-3.910606195684523,-5.0,0.3319230734301985
Medium formula,8.683333333333334,TX,James Talarico,Ken Paxton,-3.4404999999999992,-3.0916329999999994,0.3679166666666666,-3.1549886956845214,-5.0,0.3630582098788916
