state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,simulated_dem_win_prob,avg_simulated_margin_dem,tipping_count,tipping_share_of_control_sims
GA,Jon Ossoff,Mike Collins,D,Competitive,12.999999999999998,7.277507575757575,7.277507575757575,7.58308867121212,0.7987891081156445,1.1,1.0,1,0.8016666666666666,7.652301540671867,161,0.04080081094779524
MI,Democratic nominee TBD,Republican nominee TBD,D-open,Competitive,2.0,6.816,6.816,6.816,0.7754373965544176,1.05,1.0,1,0.7705,6.716543823202273,188,0.0476431829700963
MN,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary,D-open,Likely,6.0,11.317999999999998,11.317999999999998,11.317999999999998,0.8867352219568728,0.9,0.85,1,0.8903333333333333,11.30784931790578,86,0.021794221996958945
NH,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary,D-open,Competitive,3.0,10.516,10.516,10.516,0.8712436707581818,1.05,1.0,1,0.878,10.483802818930968,92,0.02331474911302585
NC,Roy Cooper,Michael Whatley,R-open,Competitive,6.299999999999999,3.9369999999999994,3.9369999999999994,4.1683376999999995,0.6808931911247866,1.05,1.0,1,0.6779166666666666,4.243598083272853,260,0.06588950836289914
ME,Graham Platner,Susan Collins,R,Competitive,2.9459740208525793,6.856499999999999,6.856499999999999,5.80847903758849,0.7419420747868409,1.15,1.0,1,0.72025,5.655205552654223,233,0.05904713634059807
TX,James Talarico,Ken Paxton,R,Likely,0.8212822878131864,-5.963,-5.963,-4.1448123468660665,0.32003689683619696,0.75,0.85,1,0.32475,-4.2049216161015925,432,0.10947795235681702
OH,Sherrod Brown,Jon Husted,R-appointed,Competitive,1.6005938977342422,-5.013375,-5.013375,-3.240831335407223,0.356808779601717,0.8,1.0,1,0.3511666666666667,-3.4109820129330504,394,0.09984794728839332
FL,Angie Nixon / Alex Vindman primary,Ashley Moody,R-appointed,Likely,-2.7176603290074115,-5.222666666666667,-5.222666666666667,-4.626475158303764,0.3012868886424329,0.7,0.85,1,0.3085,-4.554602032069132,419,0.10618347693867207
IA,Josh Turek,Ashley Hinson,R-open,Likely,0.5861829323198707,-6.470327743902439,-6.470327743902439,-4.57918288267486,0.30310009261182475,0.75,0.85,1,0.30675,-4.588577764245609,431,0.10922453117080588
AK,Mary Peltola,Dan Sullivan,R,Likely,1.4426604619012775,-8.338155303030304,-8.338155303030304,-6.73899192546399,0.22701013745834284,0.65,0.85,1,0.24408333333333335,-6.735400167290036,383,0.09706031424227066
CO,John Hickenlooper,Mark Baisley,D,Safe,9.0,19.150333333333332,19.150333333333332,19.150333333333332,0.970167744683108,0.85,0.65,1,0.98225,19.070217029245104,15,0.003801317790167258
DE,Chris Coons,Republican nominee TBD,D,Safe,15.0,23.06724999999999,23.06724999999999,23.06724999999999,0.9851390444819029,0.75,0.65,1,0.9936666666666667,22.855167769923778,4,0.0010136847440446021
IL,Juliana Stratton,Don Tracy,D-open,Safe,14.0,19.065,19.065,19.065,0.9697154100573456,0.75,0.65,1,0.9815833333333334,19.13642881607541,13,0.003294475418144957
MA,Ed Markey,Republican nominee TBD,D,UltraSafe,28.0,33.88312499999999,33.88312499999999,33.568966124999996,0.9977698379743428,0.6,0.45,1,0.9998333333333334,33.4781985170962,1,0.00025342118601115053
NJ,Cory Booker,Justin Murphy,D,Safe,11.0,17.896083333333333,17.896083333333333,17.896083333333333,0.9628106140492344,0.85,0.65,1,0.9753333333333334,17.964862731772154,15,0.003801317790167258
NM,Ben Ray Lujan,Larry Marker,D,Safe,9.0,16.332652777777778,16.332652777777778,16.332652777777778,0.9511804633518974,0.9,0.65,1,0.9601666666666666,16.217725921473928,31,0.007856056766345666
OR,Jeff Merkley,David Brock Smith,D,Safe,14.0,22.452041666666663,22.452041666666663,22.452041666666663,0.9834094024513308,0.8,0.65,1,0.9918333333333333,22.305368818034548,1,0.00025342118601115053
RI,Jack Reed,Republican nominee TBD,D,UltraSafe,22.0,23.207166666666662,23.207166666666662,23.207166666666662,0.9855069199176112,0.65,0.45,1,0.9951666666666666,23.21832117173926,5,0.0012671059300557526
VA,Mark Warner,Republican nominee TBD,D,Likely,7.0,15.861791666666663,15.861791666666663,15.861791666666663,0.9470479090187186,0.95,0.85,1,0.957,15.800763990820682,31,0.007856056766345666
AL,Everett Wess,Barry Moore,R-open,UltraSafe,-25.0,-25.156741361788615,-25.156741361788615,-25.156741361788615,0.010211740280810535,0.55,0.45,1,0.00275,-25.209483647625248,11,0.002787633046122656
AR,Hallie Schoffner,Tom Cotton,R,UltraSafe,-28.0,-28.700833333333335,-28.700833333333335,-28.700833333333335,0.005387170063594042,0.5,0.45,1,0.0010833333333333333,-28.78572527326825,6,0.0015205271160669033
ID,David Roth,Jim Risch,R,UltraSafe,-30.0,-33.57825,-33.57825,-33.57825,0.002226409112384928,0.45,0.45,1,0.00025,-33.52772196247765,3,0.0007602635580334517
