dem_seats,probability,count
40.0,8.333333333333333e-05,1
41.0,0.00016666666666666666,2
42.0,0.0013333333333333333,16
43.0,0.00375,45
44.0,0.010083333333333333,121
45.0,0.022833333333333334,274
46.0,0.050333333333333334,604
47.0,0.08808333333333333,1057
48.0,0.15166666666666667,1820
49.0,0.18675,2241
50.0,0.17341666666666666,2081
51.0,0.13841666666666666,1661
52.0,0.09183333333333334,1102
53.0,0.04908333333333333,589
54.0,0.02325,279
55.0,0.00725,87
56.0,0.0013333333333333333,16
57.0,0.0003333333333333333,4
