state,dem_candidate,gop_candidate,war_match_status,dem_war_name,gop_war_name,dem_name_match_score,gop_name_match_score,dem_candidate_war,gop_candidate_war,dem_effective_war,gop_effective_war,dem_war_cycles,gop_war_cycles,dem_war_chambers,gop_war_chambers,candidate_war_net_dem,senate_candidate_war_shrinkage,senate_candidate_war_cap,senate_candidate_war_one_sided_multiplier,senate_house_war_transfer_multiplier,candidate_war_adjustment_dem_before_match_quality,candidate_war_match_quality_multiplier,proposed_war_adjustment_dem,current_model_candidate_adjustment_dem,war_minus_current_adjustment_dem,war_review_priority,overperformance_adjustment_dem,candidate_liability_adjustment_dem,candidate_quality_adjustment_dem,special_adjustment_dem,fundamentals_margin_dem,model_margin_dem,simulated_dem_win_prob
GA,Jon Ossoff,Mike Collins / Derek Dooley runoff,Only D matched,Jon Ossoff,,1.0,0.0,3.05,0.0,3.05,0.0,2020,,SENATE,,3.05,0.35,3.0,0.5,0.5,1.0675,0.5,0.53375,2.25,-1.71625,Medium,0.0,0.0,0.75,0.0,7.1240000000000006,,
MI,Democratic nominee TBD,Republican nominee TBD,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,7.2955,,
MN,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,10.979,,
NH,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,10.9955,,
NC,Roy Cooper,Michael Whatley,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,7.125,-7.125,High,1.375,0.0,2.875,0.0,7.848,,
ME,Graham Platner,Susan Collins,Only R matched,,Susan Collins,0.0,1.0,0.0,8.8,0.0,8.8,,"2020,2014",,SENATE,-8.8,0.35,3.0,0.5,0.5,-3.0,0.5,-1.5,-11.0,9.5,High,-2.0,-1.0,-4.0,0.0,2.698999999999998,,
TX,James Talarico,Ken Paxton,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,2.5,-2.5,High,0.5,1.0,0.5,0.0,-3.6205,,
OH,Sherrod Brown,Jon Husted,Only D matched,Sherrod Brown,,1.0,0.0,2.2299999999999995,0.0,2.2299999999999995,0.0,"2024,2018",,SENATE,,2.2299999999999995,0.35,3.0,0.5,0.5,0.7804999999999997,0.5,0.3902499999999999,3.75,-3.35975,High,1.25,0.0,1.25,0.0,-3.1159999999999997,,
FL,Angie Nixon / Alex Vindman primary,Ashley Moody,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,-4.903,,
IA,Josh Turek,Ashley Hinson,Only R matched,,Ashley Hinson,0.0,1.0,0.0,0.4646341463414634,0.0,0.2323170731707317,,"2024,2022,2020",,HOUSE,-0.2323170731707317,0.35,3.0,0.5,0.5,-0.08131097560975609,0.5,-0.04065548780487804,0.0,-0.04065548780487804,Low,0.0,0.0,0.0,0.0,-6.107500000000002,,
AK,Mary Peltola,Dan Sullivan,Both matched,Mary Peltola,Dan Sullivan,1.0,1.0,7.110606060606062,-0.3600000000000001,3.555303030303031,-0.3600000000000001,"2024,2022","2024,2020,2014",HOUSE,"HOUSE,SENATE",3.915303030303031,0.35,3.0,0.5,0.5,1.3703560606060607,1.0,1.3703560606060607,4.0,-2.6296439393939393,High,2.0,0.0,0.0,0.0,-7.4765000000000015,,
CO,John Hickenlooper,Republican nominee TBD,Only D matched,John Hickenlooper,,1.0,0.0,0.4000000000000001,0.0,0.4000000000000001,0.0,2020,,SENATE,,0.4000000000000001,0.35,3.0,0.5,0.5,0.14,0.5,0.07,0.0,0.07,Low,0.0,0.0,0.0,0.0,18.7535,,
DE,Chris Coons,Republican nominee TBD,Only D matched,Chris Coons,,1.0,0.0,0.5400000000000001,0.0,0.5400000000000001,0.0,"2020,2014",,SENATE,,0.5400000000000001,0.35,3.0,0.5,0.5,0.18900000000000003,0.5,0.09450000000000001,0.0,0.09450000000000001,Low,0.0,0.0,0.0,0.0,22.612499999999997,,
IL,Juliana Stratton,Don Tracy,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,18.6575,,
MA,Ed Markey,Republican nominee TBD,Only D matched,Ed Markey,,1.0,0.0,-1.53,0.0,-1.53,0.0,"2020,2014",,SENATE,,-1.53,0.35,3.0,0.5,0.5,-0.5355,0.5,-0.26775,0.0,-0.26775,Low,0.0,0.0,0.0,0.0,33.541,,
NJ,Cory Booker,Justin Murphy,Only D matched,Cory Booker,,1.0,0.0,-0.22000000000000006,0.0,-0.22000000000000006,0.0,"2020,2014",,SENATE,,-0.22000000000000006,0.35,3.0,0.5,0.5,-0.07700000000000001,0.5,-0.038500000000000006,0.0,-0.038500000000000006,Low,0.0,0.0,0.0,0.0,17.5535,,
NM,Ben Ray Lujan,Larry Marker,Only D matched,Ben Ray Lujan,,1.0,0.0,0.7388888888888888,0.0,0.7388888888888888,0.0,"2020,2018,2016,2014",,"HOUSE,SENATE",,0.7388888888888888,0.35,3.0,0.5,0.5,0.25861111111111107,0.5,0.12930555555555553,0.0,0.12930555555555553,Low,0.0,0.0,0.0,0.0,15.928999999999998,,
OR,Jeff Merkley,David Brock Smith,Only D matched,Jeff Merkley,,1.0,0.0,0.05,0.0,0.05,0.0,"2020,2014",,SENATE,,0.05,0.35,3.0,0.5,0.5,0.017499999999999998,0.5,0.008749999999999999,0.0,0.008749999999999999,Low,0.0,0.0,0.0,0.0,22.063,,
RI,Jack Reed,Republican nominee TBD,Only D matched,Jack Reed,,1.0,0.0,5.800000000000001,0.0,5.800000000000001,0.0,"2020,2014",,SENATE,,5.800000000000001,0.35,3.0,0.5,0.5,2.0300000000000002,0.5,1.0150000000000001,0.0,1.0150000000000001,Medium,0.0,0.0,0.0,0.0,22.2465,,
VA,Mark Warner,Republican nominee TBD,Only D matched,Mark Warner,,1.0,0.0,1.27,0.0,1.27,0.0,"2020,2014",,SENATE,,1.27,0.35,3.0,0.5,0.5,0.44449999999999995,0.5,0.22224999999999998,0.0,0.22224999999999998,Low,0.0,0.0,0.0,0.0,15.4345,,
AL,Democratic nominee TBD,Republican nominee TBD,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,-24.9195,,
AR,Hallie Schoffner,Tom Cotton,Only R matched,,Tom Cotton,0.0,1.0,0.0,-0.2,0.0,-0.2,,"2020,2014",,SENATE,0.2,0.35,3.0,0.5,0.5,0.06999999999999999,0.5,0.034999999999999996,-7.5,7.535,High,-1.5,0.0,-3.0,0.0,-32.239999999999995,,
ID,Democratic nominee TBD,Republican nominee TBD,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,-33.1705,,
KS,Democratic nominee TBD,Roger Marshall,Only R matched,,Roger Marshall,0.0,1.0,0.0,-1.8153846153846156,0.0,-1.8153846153846156,,"2020,2018",,"HOUSE,SENATE",1.8153846153846156,0.35,3.0,0.5,0.5,0.6353846153846154,0.5,0.3176923076923077,0.0,0.3176923076923077,Low,0.0,0.0,0.0,0.0,-13.357999999999995,,
KY,Charles Booker,Andy Barr,Both matched,Charles Booker,Andy Barr,1.0,1.0,3.8499999999999996,2.447058823529412,3.8499999999999996,1.223529411764706,2022,"2024,2022,2020,2018,2016,2014",SENATE,HOUSE,2.6264705882352937,0.35,3.0,0.5,0.5,0.9192647058823528,1.0,0.9192647058823528,-1.0,1.9192647058823527,Medium,0.0,0.0,-0.5,0.0,-25.539,,
LA,Democratic nominee TBD,Julia Letlow / John Fleming runoff,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,-18.524000000000004,,
MS,Scott Colom,Cindy Hyde-Smith,Only R matched,,Cindy Hyde-Smith,0.0,1.0,0.0,-4.75,0.0,-4.75,,"2020,2018",,SENATE,4.75,0.35,3.0,0.5,0.5,1.6624999999999999,0.5,0.8312499999999999,-3.0,3.83125,High,0.0,0.0,-1.5,0.0,-19.829,,
MT,Democratic nominee TBD,Kurt Alme,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,-14.478499999999997,,
NE,Democratic / Independent nominee TBD,Pete Ricketts,Only R matched,,Pete Ricketts,0.0,1.0,0.0,1.4,0.0,1.4,,2024,,SENATE,-1.4,0.35,3.0,0.5,0.5,-0.48999999999999994,0.5,-0.24499999999999997,0.0,-0.24499999999999997,Low,0.0,0.0,0.0,0.0,-18.9295,,
OK,Troy Green / Jim Priest / N'Kiyla Thomas primary,Kevin Hern / William Buckner / Gary Ty England / GOP primary,Neither matched,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.35,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,Low,0.0,0.0,0.0,0.0,-31.115499999999997,,
