state_norm,recent_poll_count_45d,most_recent_poll_end_date,polling_confidence_boost,polling_confidence_absolute_cap,bayesian_polling_weight_capped_before_polling_confidence_accelerator,bayesian_polling_weight_capped_after_polling_confidence_accelerator,polling_confidence_weight_change,polling_confidence_margin_change_dem,bayesian_model_margin_dem_capped_before_polling_confidence_accelerator,bayesian_model_margin_dem_capped
ME,10,2026-06-16,0.09,0.3,0.18,0.27,0.09000000000000002,-0.30252644517945004,6.415197109641101,6.112670664461651
TX,5,2026-06-04,0.09,0.3,0.18,0.27,0.09000000000000002,0.6453551537309234,-4.5085396925381565,-3.863184538807233
FL,4,2026-06-14,0.09,0.3,0.18,0.27,0.09000000000000002,0.30134280316564155,-4.46714772700205,-4.165804923836409
OH,2,2026-06-12,0.03,0.3,0.099,0.129,0.03,0.2883044955923193,-3.8982201645453456,-3.6099156689530263
AK,2,2026-06-07,0.03,0.3,0.099,0.129,0.03,0.3934865588416194,-6.8977329921862935,-6.504246433344674
NC,1,2026-05-08,0.0,0.3,0.054,0.054,0.0,0.0,4.155990999999999,4.155990999999999
IA,1,2026-06-04,0.0,0.3,0.054,0.054,0.0,0.0,-6.0653825457317065,-6.0653825457317065
MA,1,2026-06-12,0.0,0.3,0.054,0.054,0.0,0.0,33.386962249999996,33.386962249999996
GA,0,,0.0,0.3,0.099,0.099,0.0,0.0,6.823856883715355,6.823856883715355
MI,0,,0.0,0.3,0.0,0.0,0.0,0.0,7.04525,7.04525
MN,0,,0.0,0.3,0.0,0.0,0.0,0.0,11.514499999999998,11.514499999999998
NH,0,,0.0,0.3,0.0,0.0,0.0,0.0,10.74525,10.74525
CO,0,,0.0,0.3,0.0,0.0,0.0,0.0,19.335916666666662,19.335916666666662
DE,0,,0.0,0.3,0.0,0.0,0.0,0.0,23.230999999999995,23.230999999999995
IL,0,,0.0,0.3,0.0,0.0,0.0,0.0,19.22875,19.22875
NJ,0,,0.0,0.3,0.0,0.0,0.0,0.0,18.081666666666667,18.081666666666667
NM,0,,0.0,0.3,0.0,0.0,0.0,0.0,16.529152777777778,16.529152777777778
OR,0,,0.0,0.3,0.0,0.0,0.0,0.0,22.626708333333333,22.626708333333333
RI,0,,0.0,0.3,0.0,0.0,0.0,0.0,23.349083333333333,23.349083333333333
VA,0,,0.0,0.3,0.0,0.0,0.0,0.0,16.069208333333332,16.069208333333332
AL,0,,0.0,0.3,0.0,0.0,0.0,0.0,-25.03665802845528,-25.03665802845528
AR,0,,0.0,0.3,0.0,0.0,0.0,0.0,-28.59166666666667,-28.59166666666667
ID,0,,0.0,0.3,0.0,0.0,0.0,0.0,-33.48,-33.48
KS,0,,0.0,0.3,0.0,0.0,0.0,0.0,-14.115987179487178,-14.115987179487178
KY,0,,0.0,0.3,0.0,0.0,0.0,0.0,-24.722367647058825,-24.722367647058825
LA,0,,0.0,0.3,0.0,0.0,0.0,0.0,-18.667,-18.667
MS,0,,0.0,0.3,0.0,0.0,0.0,0.0,-18.806375000000003,-18.806375000000003
MT,0,,0.0,0.3,0.0,0.0,0.0,0.0,-14.633416666666667,-14.633416666666667
NE,0,,0.0,0.3,0.0,0.0,0.0,0.0,-19.933083333333332,-19.933083333333332
OK,0,,0.0,0.3,0.0,0.0,0.0,0.0,-31.22275,-31.22275
SC,0,,0.0,0.3,0.0,0.0,0.0,0.0,-12.839208333333335,-12.839208333333335
SD,0,,0.0,0.3,0.0,0.0,0.0,0.0,-27.819166666666664,-27.819166666666664
TN,0,,0.0,0.3,0.0,0.0,0.0,0.0,-26.538708333333332,-26.538708333333332
WV,0,,0.0,0.3,0.0,0.0,0.0,0.0,-40.94275,-40.94275
WY,0,,0.0,0.3,0.0,0.0,0.0,0.0,-41.986333333333334,-41.986333333333334
