state,review_score,review_reasons,competitiveness,manual_poll_count,partisan_or_internal_poll_count,independent_candidate_present,independent_candidate_name,independent_candidate_party_lean,independent_vote_share_estimate,independent_asymmetry_adjustment_dem,max_third_party_poll_share,avg_third_party_poll_share,human_review_status,last_human_review_date
ME,14,Highly competitive race; Manual polling is present; Partisan/internal poll metadata present; Independent/third-party candidate flagged; Large adjustment with incomplete rationale fields,0.85057054927037,8.0,1.0,True,,none,0.0,0.0,0.0,0.0,Reviewed - intentional exception,2026-06-09
TX,10,Highly competitive race; Manual polling is present; Partisan/internal poll metadata present; Large adjustment with incomplete rationale fields,0.8669457393753458,5.0,3.0,False,,none,0.0,0.0,3.0,0.8,,
FL,10,Highly competitive race; Manual polling is present; Partisan/internal poll metadata present; Large adjustment with incomplete rationale fields,0.7798200977079329,3.0,1.0,False,,none,0.0,0.0,0.0,0.0,,
OH,7,Highly competitive race; Manual polling is present; Large adjustment with incomplete rationale fields,0.877387825,1.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
IA,6,Manual polling is present; Partisan/internal poll metadata present; Large adjustment with incomplete rationale fields,0.709753875,1.0,1.0,False,,none,0.0,0.0,0.0,0.0,,
AK,6,Manual polling is present; Polls show notable independent/third-party vote share; Large adjustment with incomplete rationale fields,0.6619072916666667,1.0,0.0,False,,none,0.0,0.0,7.8,7.8,,
NC,6,Manual polling is present; Partisan/internal poll metadata present; Large adjustment with incomplete rationale fields,0.61217665,1.0,1.0,False,,none,0.0,0.0,0.0,0.0,,
MT,6,Independent/third-party candidate flagged; Large adjustment with incomplete rationale fields,0.27937916666666684,0.0,0.0,True,Seth Bodnar,review,0.0,0.0,0.0,0.0,,
NE,6,Independent/third-party candidate flagged; Large adjustment with incomplete rationale fields,0.0,0.0,0.0,True,Dan Osborn,review,0.0,0.0,0.0,0.0,,
GA,5,Competitive race with no manual polls; Large adjustment with incomplete rationale fields,0.670452922102111,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
MI,5,Competitive race with no manual polls; Large adjustment with incomplete rationale fields,0.6298874999999999,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
MN,2,Large adjustment with incomplete rationale fields,0.44647500000000007,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
NH,2,Large adjustment with incomplete rationale fields,0.4448874999999999,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
SC,2,Large adjustment with incomplete rationale fields,0.3649083333333334,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
KS,2,Large adjustment with incomplete rationale fields,0.3356583333333335,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
VA,2,Large adjustment with incomplete rationale fields,0.22344583333333345,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
NM,2,Large adjustment with incomplete rationale fields,0.19897500000000012,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
NJ,2,Large adjustment with incomplete rationale fields,0.1180041666666668,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
LA,2,Large adjustment with incomplete rationale fields,0.07684999999999997,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
IL,2,Large adjustment with incomplete rationale fields,0.0633125,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
CO,2,Large adjustment with incomplete rationale fields,0.058004166666666634,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
MS,2,Large adjustment with incomplete rationale fields,0.011599999999999944,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
DE,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
MA,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
OR,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
RI,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
AL,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
AR,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
ID,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
KY,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
OK,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
SD,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
TN,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
WV,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
WY,2,Large adjustment with incomplete rationale fields,0.0,0.0,0.0,False,,none,0.0,0.0,0.0,0.0,,
