simulation,dem_seats,dem_control,national_error
1,52.0,1,1.6106304646708445
2,51.0,1,3.060236170096578
3,53.0,1,5.793361921232599
4,52.0,1,2.8306590341359
5,52.0,1,1.7889395996672655
6,50.0,0,-2.971240705696818
7,51.0,1,1.707991326350617
8,51.0,1,3.6975891575788955
9,49.0,0,-0.9902366741929791
10,51.0,1,2.0544714327902818
11,46.0,0,-9.403132780359883
12,51.0,1,2.1654840023478794
13,52.0,1,2.5233230460938483
14,50.0,0,-2.2399152982637074
15,49.0,0,0.9320527821556762
16,51.0,1,0.6710885765245245
17,46.0,0,-6.199561011139222
18,49.0,0,1.3778143375789629
19,48.0,0,-1.4685238046466644
20,48.0,0,-3.6867366369858163
21,51.0,1,2.258497082682341
22,48.0,0,-3.8554565217550705
23,50.0,0,-2.75571288649092
24,51.0,1,2.9625652727242437
25,44.0,0,-7.242141350411154
26,48.0,0,0.9086916376967298
27,49.0,0,-3.113327910532133
28,53.0,1,7.238041298923493
29,43.0,0,-13.674391583050399
30,52.0,1,5.027641611799019
31,49.0,0,1.3731944005276475
32,49.0,0,-0.4236148370490758
33,46.0,0,-5.959341869614519
34,48.0,0,-3.0589159174505123
35,52.0,1,4.523211521303159
36,51.0,1,3.4742948988133597
37,49.0,0,1.0680928677781336
38,49.0,0,-0.7453964399393224
39,50.0,0,-1.7636158048176902
40,50.0,0,3.7892951480568957
41,53.0,1,3.4031586398663083
42,51.0,1,5.320347510772635
43,50.0,0,1.0316077608424852
44,49.0,0,-1.8009920471434357
45,51.0,1,-0.9641990876678687
46,48.0,0,-2.378072255410482
47,56.0,1,4.98393510728535
48,49.0,0,-1.9930525520117524
49,49.0,0,1.880362383708691
50,46.0,0,-7.531390129187011
51,48.0,0,-0.6533183245246379
52,53.0,1,2.8619254377526304
53,44.0,0,-9.489452240315625
54,51.0,1,1.7649833685101584
55,51.0,1,3.1064635520638957
56,46.0,0,-2.560894339570369
57,48.0,0,-2.649755136179868
58,49.0,0,2.178256151245804
59,49.0,0,-2.243773466494335
60,51.0,1,1.7537918595831237
61,50.0,0,0.4071161321891849
62,49.0,0,-0.6335698188915474
63,50.0,0,1.9905922743750595
64,50.0,0,2.26116253313452
65,49.0,0,-0.8705155145869199
66,50.0,0,2.82311138459606
67,46.0,0,-3.6947771332829498
68,50.0,0,-0.6373114830673678
69,48.0,0,-1.4563723767919796
70,52.0,1,2.9236672900369824
71,50.0,0,1.83198848220617
72,51.0,1,2.731041819401775
73,48.0,0,-2.201313300836074
74,50.0,0,3.626217020793893
75,48.0,0,-0.7752407321989463
76,49.0,0,0.32602047944785617
77,53.0,1,4.610307332854852
78,52.0,1,0.7991576072391551
79,50.0,0,0.5992888823583457
80,48.0,0,-4.544456712406895
81,48.0,0,-4.839861558113365
82,50.0,0,2.653068251179776
83,51.0,1,-0.3231862556165971
84,46.0,0,-6.953832373791642
85,52.0,1,0.28237781877943247
86,49.0,0,-0.8392832741467638
87,48.0,0,-5.266456125459043
88,50.0,0,-1.8752587159397502
89,53.0,1,5.659123732892096
90,47.0,0,-4.557040055030928
91,44.0,0,-8.453460699741953
92,49.0,0,-1.9145424817049004
93,48.0,0,-1.3293214294001674
94,51.0,1,0.9208680540529158
95,51.0,1,-0.6741073024238746
96,50.0,0,2.160934001213354
97,46.0,0,-5.834651267529476
98,47.0,0,-2.7119845591850633
99,51.0,1,1.2699798776476545
100,49.0,0,-3.9689435924091625
101,50.0,0,-2.447276005596048
102,46.0,0,-5.411842616407569
103,51.0,1,1.018468199845736
104,50.0,0,0.3123984110834044
105,53.0,1,5.442295235708066
106,48.0,0,-3.51431149174502
107,45.0,0,-8.567250702309378
108,51.0,1,1.903557027475729
109,52.0,1,2.5410271579297112
110,50.0,0,0.24667658487749525
111,48.0,0,-6.263976968244023
112,52.0,1,4.092393674862799
113,51.0,1,0.7233308669526404
