state,dem_candidate,gop_candidate,current_holder,race_tier,polling_margin_dem,fundamentals_margin_dem,adjusted_fundamentals_margin_dem,model_margin_dem,pre_sim_dem_win_prob,elasticity,tier_error_multiplier,dem_win_counts_for_seat_change,simulated_dem_win_prob,avg_simulated_margin_dem,tipping_count,tipping_share_of_control_sims
Georgia,Jon Ossoff,Mike Collins / Derek Dooley runoff,D,Competitive,0.9068288682603954,0.9068288682603954,12.786828868260399,8.180028868260397,0.8156693601220398,1.1,1.0,1,0.92744,8.199201023633533,86,0.0032184424235619925
Michigan,Democratic nominee TBD,Republican nominee TBD,D-open,Competitive,2.0,2.0000000008132406,13.340000000813243,8.942600000497885,0.8356109518447462,1.05,1.0,1,0.9462,8.979540930607323,52,0.0019460349537816699
Minnesota,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary,D-open,Likely,6.0,6.000000000813242,15.720000000813243,11.950800000497885,0.897786885495462,0.9,0.85,1,0.98694,11.971260018535432,2,7.484749822237191e-05
New Hampshire,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary,D-open,Competitive,3.0,3.000000000813241,14.340000000813243,9.942600000497887,0.859089171242203,1.05,1.0,1,0.96052,9.937256181276855,18,0.0006736274840013472
North Carolina,Roy Cooper / Democratic primary,Michael Whatley / Don Brown / Republican primary,R-open,Competitive,-1.41439042173441,-1.4143904217344103,9.925609578265592,5.5282095782655905,0.7320658081548618,1.05,1.0,1,0.839,5.519793648965841,544,0.020358519516485162
Maine,Graham Platner / David Costello primary,Susan Collins,R,Competitive,5.071866856076324,5.071866855725466,17.491866855725466,12.675666855861522,0.9092627963802421,1.15,1.0,1,0.98844,12.696640769678975,3,0.00011227124733355787
Texas,James Talarico,John Cornyn / Ken Paxton runoff,R,Likely,-5.0,-5.000000000000218,3.099999999999784,-0.041000000000132264,0.49813637226653756,0.75,0.85,1,0.49916,-0.02778575311738642,4544,0.170053515961229
Ohio,Sherrod Brown,Jon Husted,R-appointed,Competitive,-4.0,-4.000000000004981,4.63999999999502,1.289599999996951,0.5583510935441099,0.8,1.0,1,0.59228,1.3205536047851303,3043,0.11388046854533887
Florida,Angie Nixon / Alex Vindman primary,Ashley Moody,R-appointed,Likely,-7.0,-7.000000000001665,0.5599999999983343,-2.3716000000010196,0.39383981908393056,0.7,0.85,1,0.33032,-2.364192943520526,4997,0.18700647430859624
Iowa,Jackie Norris / Nathan Sage / J.D. Scholten / Zach Wahls primary,Jim Carlin / Joshua Smith / GOP field,R-open,Likely,-7.0,-7.000000001626482,1.0999999983735194,-2.0410000009957674,0.40827744575082814,0.75,0.85,1,0.35314,-2.0240758447234266,4966,0.18584633808614948
