simulation,dem_seats,dem_control,national_error
1,51.0,1,2.0001898472692656
2,54.0,1,3.8004082574734372
3,55.0,1,7.194588672314695
4,53.0,1,3.5153038424097702
5,52.0,1,2.2216261911845
6,49.0,0,-3.6898876705045383
7,52.0,1,2.12109915038062
8,54.0,1,4.591916305192749
9,51.0,1,-1.2297428774385297
10,53.0,1,2.551381581008195
11,44.0,0,-11.677446274831485
12,52.0,1,2.6892444983060857
13,53.0,1,3.1336332255511667
14,50.0,0,-2.7816783157928042
15,52.0,1,1.1574861849939297
16,50.0,0,0.8334031839246607
17,48.0,0,-7.699034175751316
18,53.0,1,1.7110630339471917
19,49.0,0,-1.8237121853570415
20,49.0,0,-4.578438911101613
21,53.0,1,2.8047544324772686
22,48.0,0,-4.787966675508373
23,49.0,0,-3.4222306472233948
24,54.0,1,3.6791139310695558
25,47.0,0,-8.993780956789285
26,52.0,1,1.128474735755681
27,50.0,0,-3.866341171647363
28,55.0,1,8.988689235541745
29,38.0,0,-16.981784345915347
30,53.0,1,6.243665401972898
31,51.0,1,1.7053256836438417
32,49.0,0,-0.5260735561656881
33,47.0,0,-7.400713798397941
34,49.0,0,-3.798768678441241
35,54.0,1,5.61722999807463
36,54.0,1,4.314614391977282
37,51.0,1,1.3264299644966289
38,50.0,0,-0.925683714583147
39,49.0,0,-2.190177389945786
40,54.0,1,4.705803006774142
41,54.0,1,4.226272574260772
42,55.0,1,6.6071673847088945
43,53.0,1,1.2811202910054278
44,49.0,0,-2.2365937356370433
45,50.0,0,-1.197407641419283
46,49.0,0,-2.953250969530649
47,54.0,1,6.189387708544484
48,50.0,0,-2.475107460743767
49,53.0,1,2.3351611878580663
50,44.0,0,-9.352989653838698
51,50.0,0,-0.8113348830864213
52,53.0,1,3.554132577148491
53,43.0,0,-11.78464361848817
54,54.0,1,2.1918757230353245
55,54.0,1,3.857816547025295
56,49.0,0,-3.1802917989538924
57,49.0,0,-3.2906451463524853
58,52.0,1,2.705105816661728
59,49.0,0,-2.7864696500517994
60,53.0,1,2.177977350303344
61,51.0,1,0.5055843485679726
62,49.0,0,-0.7868098530857501
63,52.0,1,2.472052121571735
64,51.0,1,2.8080645691285944
65,49.0,0,-1.0810650440062155
66,54.0,1,3.5059306607200647
67,49.0,0,-4.588424143228599
68,50.0,0,-0.7914565047296432
69,50.0,0,-1.8086217203758437
70,52.0,1,3.6308077852732783
71,53.0,1,2.2750872051658795
72,54.0,1,3.391592447465332
73,49.0,0,-2.7337397445111256
74,53.0,1,4.50328155842329
75,50.0,0,-0.9627463752530083
76,53.0,1,0.40487428202640313
77,54.0,1,5.725391467652306
78,51.0,1,0.9924479683143378
79,52.0,1,0.7442374674810824
80,49.0,0,-5.643613713322232
81,48.0,0,-6.010467430656441
82,52.0,1,3.2947595966444743
83,50.0,0,-0.40135455117781793
84,48.0,0,-8.635739369621872
85,50.0,0,0.3506758742031421
86,51.0,1,-1.0422787354108174
87,50.0,0,-6.540241417440821
88,49.0,0,-2.328823108032067
89,55.0,1,7.027882610729447
90,47.0,0,-5.659240559276897
91,46.0,0,-10.49807925331221
92,49.0,0,-2.3776083453472046
93,50.0,0,-1.6508412607152978
94,49.0,0,1.1435962331481595
95,51.0,1,-0.8371520419203419
96,52.0,1,2.683593999154376
